№	№	Name\n(Birth–Death)\n(Title)	Portrait	Term start	Term end	Political Party	Head of State
1	1	King Norodom Sihanouk\n(1922–2012)\nPrime Minister		18 March 1945	13 August 1945	Non-party	King Norodom Sihanouk
2	2	Son Ngoc Thanh\n(1908–1977)\nPrime Minister		14 August 1945	16 October 1945	Non-party	King Norodom Sihanouk
3	3	Prince Sisowath Monireth\n(1909–1975)\nPrime Minister		17 October 1945	15 December 1946	Non-party	King Norodom Sihanouk
4	4	Prince Sisowath Youtevong\n(1913–1947)\nPrime Minister		15 December 1946	15 July 1947	Democratic Party	King Norodom Sihanouk
5	5	Prince Sisowath Watchayavong\n(1891–1972)\nPrime Minister		25 July 1947	20 February 1948	Democratic Party	King Norodom Sihanouk
6	6	Chhean Vam\n(1916–2000)\nPrime Minister		20 February 1948	14 August 1948	Democratic Party	King Norodom Sihanouk
7	7	Samdech Penn Nouth\n(1906–1985)\nPrime Minister		15 August 1948	21 January 1949	Democratic Party	King Norodom Sihanouk
8	8	Yem Sambaur\n(1913–1989)\nPrime Minister		12 February 1949	20 September 1949	Democratic Party	King Norodom Sihanouk
9	9	Ieu Koeus\n(1905–1950)\nPrime Minister		20 September 1949	29 September 1949	Democratic Party	King Norodom Sihanouk
(8)	10	Yem Sambaur\n(1913–1989)\nPrime Minister\n(2nd term)		29 September 1949	28 April 1950	Democratic Party	King Norodom Sihanouk
(1)	11	King Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(2nd term)		28 April 1950	30 May 1950	Non-party	King Norodom Sihanouk
10	12	Prince Sisowath Monipong\n(1912–1956)\nPrime Minister		30 May 1950	3 March 1951	Non-party	King Norodom Sihanouk
11	13	Oum Chheang Sun\n(1900–?)\nPrime Minister		3 March 1951	12 October 1951	National Democratic Party	King Norodom Sihanouk
12	14	Huy Kanthoul\n(1909–1991)\nPrime Minister		13 October 1951	16 June 1952	Democratic Party	King Norodom Sihanouk
(1)	15	King Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(3rd term)		16 June 1952	24 January 1953	Non-party	King Norodom Sihanouk
(7)	16	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(2nd term)		24 January 1953	9 November 1953	Democratic Party	King Norodom Sihanouk
(7)	1	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(3rd term)		9 November 1953	22 November 1953	Democratic Party	King Norodom Sihanouk
13	2	Chan Nak\n(1892–1954)\nPrime Minister		23 November 1953	7 April 1954	Non-party	King Norodom Sihanouk
(1)	3	King Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(4th term)		7 April 1954	18 April 1954	Non-party	King Norodom Sihanouk
(7)	4	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(4th term)		18 April 1954	26 January 1955	Democratic Party	King Norodom Sihanouk
14	5	Leng Ngeth\n(1900–c.1975)\nPrime Minister		26 January 1955	3 October 1955	Democratic Party	King Norodom Sihanouk
14	5	Leng Ngeth\n(1900–c.1975)\nPrime Minister		26 January 1955	3 October 1955	Democratic Party	King Norodom Suramarit
(1)	6	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(5th term)		3 October 1955	5 January 1956	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(11)	7	Oum Chheang Sun\n(1900–?)\nPrime Minister\n(2nd term)		5 January 1956	29 February 1956	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(1)	8	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(6th term)		1 March 1956	24 March 1956	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
15	9	Khim Tit\n(1896–1975)\nPrime Minister		3 April 1956	29 July 1956	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(1)	10	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(7th term)		15 September 1956	15 October 1956	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
16	11	Sam Yun\n(1905–1974)\nPrime Minister		25 October 1956	9 April 1957	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(1)	12	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(8th term)		9 April 1957	7 July 1957	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
17	13	Sim Var\n(1906–1989)\nPrime Minister		26 July 1957	11 January 1958	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
18	14	Ek Yi Oun\n(1910– )\nPrime Minister		11 January 1958	17 January 1958	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(7)	15	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(5th term)		17 January 1958	24 April 1958	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(17)	16	Sim Var\n(1906–1989)\nPrime Minister\n(2nd term)		24 April 1958	10 July 1958	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
(1)	17	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(9th term)		10 July 1958	19 April 1960	Sangkum\n(Popular Socialist\nCommunity)	King Norodom Suramarit
19	18	Pho Proeung\n(1903–c.1975)\nPrime Minister		19 April 1960	28 January 1961	Non-party	Chuop Hell\nPrince Sisowath Monireth\nChuop Hell
(7)	19	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(6th term)		28 January 1961	17 November 1961	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
(1)	20	Prince Norodom Sihanouk\n(1922–2012)\nPrime Minister\n(10th term)		17 November 1961	13 February 1962	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
—	—	Nhiek Tioulong\n(1908–1996)\nActing Prime Minister		13 February 1962	6 August 1962	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
20	21	Chau Sen Cocsal Chhum\n(1905–2009)\nPrime Minister		6 August 1962	6 October 1962	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
21	22	Prince Norodom Kantol\n(1920–1976)\nPrime Minister		6 October 1962	25 October 1966	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
22	23	General Lon Nol\n(1913–1985)\nPrime Minister		25 October 1966	1 May 1967	Sangkum\n(Popular Socialist\nCommunity) / Military	Prince Norodom Sihanouk
23	24	Son Sann\n(1911–2000)\nPrime Minister		1 May 1967	31 January 1968	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
