"Year","Team","GP","Att","Yds","Avg","Long","Rush TD","Rec","Yds","Avg","Long","Rec TD"
"1981","San Diego Chargers","14","109","525","4.8","28","3","46","329","7.2","29","3"
"1982","San Digeo Chargers","9","87","430","4.9","48","6","13","66","5.1","12","0"
"1983","San Diego Chargers","15","127","516","4.1","61","3","25","215","8.6","36","0"
"1984","Cincinnati Bengals","15","103","396","3.8","33","2","34","268","7.9","27","2"
"1985","Cincinnati Bengals","16","192","929","4.8","39","7","55","576","10.5","57","5"
"1986","Cincinnati Bengals","16","205","1,087","5.3","56","5","54","686","12.7","54","4"
"1987","Cincinnati Bengals","9","94","280","3.1","18","1","22","272","12.4","46","2"
"1988","Cincinnati Bengals","15","182","931","5.1","51","8","29","287","9.9","28","6"
"1989","Cincinnati Bengals","16","221","1,239","5.6","65","7","37","306","8.3","25","2"
"1990","Cincinnati Bengals","16","195","1,004","5.1","56","5","26","269","10.3","35","4"
"1991","Cincinnati Bengals","15","152","571","3.8","25","2","40","348","8.7","40","2"
"1992","Tampa Bay Buccaneers","2","5","6","1.2","4","0","0","0","0.0","0","0"
"1992","Cleveland Browns","4","13","38","2.9","13","0","2","-1","-0.5","4","0"
"Career Totals","","162","1,685","7,962","4.7","65","49","383","3,621","9.5","57","30"
