#	Name	Hanzi	Hanyu Pinyin	Population (2003 est.)	Area (km²)	Density (/km²)
1	Aimin District	爱民区	Àimín Qū	230,000	359	641
2	Dong'an District	东安区	Dōng'ān Qū	180,000	566	318
3	Yangming District	阳明区	Yángmíng Qū	160,000	358	447
4	Xi'an District	西安区	Xī'ān Qū	210,000	325	646
5	Muling City	穆棱市	Mùlíng Shì	330,000	6,094	54
6	Suifenhe City	绥芬河市	Suífēnhé Shi	60,000	427	141
7	Hailin City	海林市	Hǎilín Shì	440,000	9,877	45
8	Ning'an City	宁安市	Níng'ān Shì	440,000	7,870	56
9	Dongning County	东宁县	Dōngníng Xiàn	210,000	7,368	29
10	Linkou County	林口县	Línkǒu Xiàn	450,000	7,191	63
