#	Title	Directed by	Written by	Original air date	Production\ncode
1	"Pilot"	Michael Dinner	Peter Elkoff	June 14, 2004	1AJE01
2	"Tessa"	Patrick Norris	Liz Heldens	June 21, 2004	1AJE02
3	"Surprise Party"	James Marshall	Kevin Falls & Matt McGuinness	June 28, 2004	1AJE03
4	"Meteor Shower"	Craig Zisk	Kevin Falls & Matt McGuinness	July 5, 2004	1AJE04
5	"My Boyfriend's Back"	David Straiton	Dana Baratta	July 12, 2004	1AJE05
6	"Secret Service"	David Grossman	Jeff Rake	July 19, 2004	1AJE06
7	"More"	Michael Fresco	Liz Heldens	August 2, 2004	1AJE07
8	"Burned"	Kevin Hooks	Karyn Usher	August 9, 2004	1AJE08
9	"Ties That Bind"	Patrick Norris	Gretchen J. Berg & Aaron Harberts	September 6, 2004	1AJE09
10	"Vice"	Kenneth Biller	Kenneth Biller	September 13, 2004	1AJE10
11	"Alexandra"	Steve Miner	Chris Brancato	September 20, 2004	1AJE11
12	"Bellport"	Patrick Norris	Peter Elkoff	September 27, 2004	1AJE12
13	"Leverage"	Elodie Keene	Kevin Falls & Matt McGuinness	November 4, 2004	1AJE13
14	"Illusions"	George Mendeluk	Kimberly Costello	November 11, 2004	1AJE14
15	"The Big One"	Patrick Norris	Gretchen J. Berg & Aaron Harberts	November 18, 2004	1AJE15
16	"The Cook, the Waitress, the GM and His Lover"	Kenneth Biller	Kenneth Biller & Dana Baratta	December 2, 2004	1AJE16
17	"Sucker Punch"	Perry Lang	Liz Heldens	December 9, 2004	1AJE17
18	"Catwalk"	Michael Fresco	Colleen McGuinness	December 16, 2004	1AJE18
19	"Shark"	Alan Myerson	Kevin Falls & Matt McGuinness	January 6, 2005	1AJE19
20	"The Ex-Games"	Fred Gerber	Amy Berg & Andrew Colville	January 13, 2005	1AJE20
21	"The End"	Elodie Keene	Karyn Usher	Unaired	1AJE21
