Year	Single	Chart	Position
1986	"Holding Out for a Hero"	Irish Singles Chart (1985)	1
1986	"Holding Out for a Hero"	UK Singles Chart (1985)	2
1986	"Holding Out for a Hero"	EURO CHARTS (1985)	12
1986	"Holding Out for a Hero"	German Singles Chart (1984)	19
1986	"Holding Out for a Hero"	Canadian Singles Chart (1984)	19
1986	"Holding Out for a Hero"	Austrian Singles Chart (1984)	19
1986	"Holding Out for a Hero"	Swedish Singles Chart (1984)	19
1986	"Holding Out for a Hero"	Italian Singles Chart (1984)	30
1986	"Holding Out for a Hero"	New Zealand Singles Chart (1984)	33
1986	"Holding Out for a Hero"	U.S. Billboard Singles Chart (1984)	34
1986	"Holding Out for a Hero"	Australian Singles Chart (1984)	44
1986	"Holding Out for a Hero"	UK Singles Chart (1991)	69
1986	"Holding Out for a Hero"	UK Singles Chart (1984)	96
1986	"If You Were a Woman and I Was a Man"	Venezuela	1
1986	"If You Were a Woman and I Was a Man"	French SNEP Singles Chart	6
1986	"If You Were a Woman and I Was a Man"	Swiss Singles Chart	16
1986	"If You Were a Woman and I Was a Man"	UK Club Chart	16
1986	"If You Were a Woman and I Was a Man"	New Zealand	20
1986	"If You Were a Woman and I Was a Man"	German Singles Chart	32
1986	"If You Were a Woman and I Was a Man"	Australia	77
1986	"If You Were a Woman and I Was a Man"	U.S. Billboard Singles Chart	77
1986	"If You Were a Woman and I Was a Man"	UK Singles Chart	78
1986	"If You Were a Woman and I Was a Man"	Canada RPM	87
1986	"Loving You's a Dirty Job but Somebody's Gotta Do It"	Spain	6
1986	"Loving You's a Dirty Job but Somebody's Gotta Do It"	Switzerland	24
1986	"Loving You's a Dirty Job but Somebody's Gotta Do It"	Germany	30
1986	"Loving You's a Dirty Job but Somebody's Gotta Do It"	French	34
1986	"Loving You's a Dirty Job but Somebody's Gotta Do It"	UK	73
1986	"Band of Gold"	Billboard Hot Dance Breakouts Singles Sales	6
1986	"Band of Gold"	UK	81
