Event	Gold	Gold	Silver	Silver	Bronze	Bronze
60 metres	Nelli Cooman (NED)	7.17	Melanie Paschke (GER)	7.19	Patricia Girard (FRA)	7.19
200 metres	Galina Malchugina (RUS)	22.41	Silke Knoll (GER)	22.96	Jacqueline Poelman (NED)	23.43
400 metres	Svetlana Goncharenko (RUS)	51.62	Tatyana Alekseyeva (RUS)	51.77	Viviane Dorsile (FRA)	51.92
800 metres	Natalya Dukhnova (BLR)	2:00.42	Ella Kovacs (ROM)	2:00.49	Carla Sacramento (POR)	2:01.12
1500 metres	Yekaterina Podkopayeva (RUS)	4:06.46	Lyudmila Rogachova (RUS)	4:06.60	Małgorzata Rydz (POL)	4:06.98
3000 metres	Fernanda Ribeiro (POR)	8:50.47	Margareta Keszeg (ROM)	8:55.61	Anna Brzezińska (POL)	8:56.90
60 metres hurdles	Yordanka Donkova (BUL)	7.85	Eva Sokolova (RUS)	7.89	Anne Piquereau (FRA)	7.91
3000 metres walk	Annarita Sidoti (ITA)	11:54.32	Beate Gummelt (GER)	11:56.01	Yelena Arshintseva (RUS)	11:57.48
High jump	Stefka Kostadinova (BUL)	1.98	Desislava Aleksandrova (BUL)	1.96	Sigrid Kirchmann (AUT)	1.94 NR
Long jump	Heike Drechsler (GER)	7.06	Ljudmila Ninova (AUT)	6.78	Inessa Kravets (UKR)	6.72
Triple jump	Inna Lasovskaya (RUS)	14.88	Anna Biryukova (RUS)	14.72	Sofiya Bozhanova (BUL)	14.52
Shot put	Astrid Kumbernuss (GER)	19.44	Larisa Peleshenko (RUS)	19.16	Svetla Mitkova (BUL)	19.09
Pentathlon	Larisa Turchinskaya (RUS)	4801	Rita Ináncsi (HUN)	4775 NR	Urszula Włodarczyk (POL)	4668
