"Make","Origin","In service","Notes"
"Dodge Charger","Canada","2006–Present","Photo"
"Dodge Magnum","Canada","2006–Present","Photo"
"Ford Taurus","United States","2002–Present","Photo"
"Chevrolet Impala","Canada","2002–Present","Photo"
"Ford Crown Victoria Police Interceptor","Canada","1998–Present","Photo"
"Ford Freestar RIDE vehicle","Canada","2005–Present","Photo"
"Chrysler PT Cruiser community/education vehicle","Mexico","2003–2005","Photo"
"Chevrolet Tahoe","United States","","Photo"
"Ford F350","United States","","Photo"
"Ford Expedition","United States","","Photo"
"Ford Explorer","United States","","Photo"
"Jeep Cherokee","United States","","Photo"
"Dodge Polara","United States","1970s","Retired, Photo"
"Chevrolet Caprice","Canada","1970s-1998","Retired"
