Team	Car(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Akins-Sutton Motorsports	Ford Taurus	38	Glenn Allen, Jr.	Barbasol	Brad Akins	Dean Johnson
Akins-Sutton Motorsports	Ford Taurus	98	Elton Sawyer	Lysol	Brad Akins	Ricky Viers
AllCar Racing	Chevrolet Monte Carlo	22	Jimmy Kitchens	Air Jamaica Vacations	Dave Carroll	Todd Lohse
Andy Petree Racing	Chevrolet Monte Carlo	15	Ken Schrader	Oakwood Homes	Andy Petree	N/A
BACE Motorsports	Chevrolet Monte Carlo	33	Jason Jarrett	Bayer/Alka-Seltzer	Barbara Baumgardner	Gary Cogswell
BACE Motorsports	Chevrolet Monte Carlo	74	Tony Raines (R)	n/a	Bill Baumgardner	Steve Bird
Bill Davis Racing	Pontiac Grand Prix	93	Dave Blaney	Amoco	Gail Davis	Gil Martin
Brewco Motorsports\nJ&J Racing	Chevrolet Monte Carlo	27	Casey Atwood	Castrol	Tammy Brewer	Kip McCord
Brewco Motorsports\nJ&J Racing	Chevrolet Monte Carlo	37	Kevin Grubb	Timber Wolf	Clarence Brewer	Terry Shirley
Brewco Motorsports\nJ&J Racing	Chevrolet Monte Carlo	99	Kevin Lepage	Red Man	Bill Papke	Dan Gibbs
Buckshot Racing	Pontiac Grand Prix	00	Larry Pearson	Cheez-It	Billy Jones	Kenneth Campbell
Cicci-Welliver Racing	Chevrolet Monte Carlo	34	Mike McLaughlin	Goulds Pumps	Frank Cicci	Jay Smith
Cicci-Welliver Racing	Pontiac Grand Prix	36	Tim Fedewa	Stanley Tools	Scott Welliver	Vic Kangas
Cicci-Welliver Racing	Chevrolet Monte Carlo	66	Todd Bodine	Phillips 66	Jeffrey Welliver	Donnie Richeson
Curb/Agajanian Motorsports	Chevrolet Monte Carlo	43	Shane Hall	Central Tractor	Don Stegall	Gene Nead
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	3	Dale Earnhardt, Jr.	AC Delco	Dale Earnhardt	Tony Eury, Sr.
Diamond Ridge Motorsports	Chevrolet Monte Carlo	4	Jeff Purvis	Lance Snacks	Gary Bechtel	Johnny Allen
Excel Motorsports	Chevrolet Monte Carlo	56	Jeff Krogh	Clearwater Forest Industries	Molly Krogh	Sammy Speaks
Excel Motorsports	Chevrolet Monte Carlo	80	Mark Krogh	Clearwater Forest Industries	Robert Krogh	Doug George
Grubb Motorsports	Chevrolet Monte Carlo	83	Wayne Grubb	Link-Belt	William Grubb	Bobby King
GTS Motorsports	Chevrolet Monte Carlo	90	Brad Loney	Coyne Textile Services	Frederick Maggio	Bob Johnson
Hank Parker Racing	Chevrolet Monte Carlo	53	Hank Parker Jr. (R)	B.A.S.S.	Hank Parker	Dave McCarty
Henderson Brothers Racing	Chevrolet Monte Carlo	75	Kelly Denton (R)	Big Daddy's BBQ Sauce	Charlie Henderson	Ron Denton
Hillin Racing	Chevrolet Monte Carlo	8	Bobby Hillin	Clean Shower	Robert Hayes	Steve Hibbard
HVP Motorsports	Chevrolet Monte Carlo	63	Chuck Bown	Exxon Superflo	Hubert Hensley	Jeff Hensley
Innovative Motorsports	Chevrolet Monte Carlo	47	Andy Santerre	Monro Muffler Brake	George DeBidart	Kevin Caldwell
Joe Gibbs Racing	Pontiac Grand Prix	18	Bobby Labonte	MBNA	Joe Gibbs	Bryant Frazier
Labonte Motorsports	Chevrolet Monte Carlo	44	Terry Labonte	Slim Jim	Kimberly Labonte	Eddie Lowery
NorthStar Motorsports	Chevrolet Monte Carlo	89	Jeff Fuller	Heritage Consumer Products	Meredith Ruark	Leon Fox
