"Team","Year","Regular Season
Won","Regular Season
Lost","Regular Season
Win %","Regular Season
Finish","Postseason
Won","Postseason
Lost","Postseason
Win %","Postseason
Result"
"CLE","1991","32","53",".376","7th in AL East","-","-","-","-"
"CLE","1992","76","86",".469","5th in AL East","-","-","-","-"
"CLE","1993","76","86",".469","6th in AL East","-","-","-","-"
"CLE","1994","66","47",".584","2nd in AL Central","","","","no MLB postseason"
"CLE","1995","100","44",".694","1st in AL Central","9","6",".600","Lost WS to ATL"
"CLE","1996","99","62",".615","1st in AL Central","1","3",".250","Lost LDS to BAL"
"CLE","1997","86","75",".534","1st in AL Central","10","8",".556","Lost WS to FLA"
"CLE","1998","89","73",".549","1st in AL Central","5","5",".500","Lost LCS to NYY"
"CLE","1999","97","65",".599","1st in AL Central","2","3",".400","Lost LDS to BOS"
"BAL","2000","74","88",".457","4th in AL East","","","",""
"BAL","2001","63","98",".391","4th in AL East","","","",""
"BAL","2002","67","95",".414","4th in AL East","","","",""
"BAL","2003","71","91",".438","4th in AL East","","","",""
"SEA","2005","69","93",".426","4th in AL West","","","",""
"SEA","2006","78","84",".481","4th in AL West","","","",""
"SEA","2007","45","33",".571","2nd in AL West†","","","",""
"CLE Total","CLE Total","721","591",".550","-","27","25",".519","-"
"BAL Total","BAL Total","275","372",".425","-","0","0",".000","-"
"SEA Total","SEA Total","192","210",".478","-","0","0",".000","-"
"Total","Total","1188","1173",".503","","27","25",".519",""
