Season	Skip	Third	Second	Lead
1996–97	Mirjam Ott	Marianne Flotron\nManuela Kormann	Franziska von Känel	Caroline Balz
2001–02	Luzia Ebnöther	Mirjam Ott	Tanya Frei	Nadia Röthlisberger\nLaurence Bidaud
2004–05	Mirjam Ott	Binia Beeli	Brigitte Schori	Michèle Knobel
2005–06	Mirjam Ott	Binia Beeli	Valeria Spälty	Michèle Moser
2006–07	Mirjam Ott	Binia Feltscher-Beeli	Valeria Spälty	Janine Greiner
2007–08	Mirjam Ott	Carmen Schäfer	Valeria Spälty	Janine Greiner
2008–09	Mirjam Ott	Carmen Schäfer	Valeria Spälty	Janine Greiner
2009–10	Mirjam Ott	Carmen Schäfer	Carmen Küng	Janine Greiner
2010–11	Mirjam Ott	Carmen Schäfer	Carmen Küng	Janine Greiner
2011–12	Mirjam Ott	Carmen Schäfer	Carmen Küng	Janine Greiner
2012–13	Mirjam Ott	Carmen Schäfer	Carmen Küng	Janine Greiner
2013–14	Mirjam Ott	Carmen Schäfer	Carmen Küng	Janine Greiner
