|      | Average population (x 1000) | Live births | Deaths  | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Fertility rates |
| 1900 | 18 520                      | 627 848     | 536 716 | 91 132         | 33.9                        | 29.0                        | 4.9                       |                 |
| 1901 | 18 610                      | 650 649     | 517 575 | 133 074        | 35.0                        | 27.8                        | 7.1                       |                 |
| 1902 | 18 720                      | 666 687     | 488 289 | 178 398        | 35.6                        | 26.1                        | 9.6                       |                 |
| 1903 | 18 810                      | 685 265     | 470 387 | 214 878        | 36.4                        | 25.0                        | 11.4                      |                 |
| 1904 | 18 980                      | 649 878     | 486 889 | 162 989        | 34.2                        | 25.7                        | 8.6                       |                 |
| 1905 | 19 110                      | 670 651     | 491 369 | 179 282        | 35.1                        | 25.7                        | 9.4                       |                 |
| 1906 | 19 250                      | 650 385     | 499 018 | 151 367        | 33.8                        | 25.9                        | 7.8                       |                 |
| 1907 | 19 380                      | 646 371     | 472 007 | 174 364        | 33.3                        | 24.4                        | 9.0                       |                 |
| 1908 | 19 530                      | 658 008     | 460 946 | 197 062        | 33.7                        | 23.6                        | 10.1                      |                 |
| 1909 | 19 670                      | 650 498     | 466 648 | 183 850        | 33.1                        | 23.7                        | 9.3                       |                 |
| 1910 | 19 770                      | 646 975     | 456 158 | 190 817        | 32.7                        | 23.1                        | 9.7                       |                 |
| 1911 | 19 950                      | 628 443     | 466 525 | 161 918        | 31.5                        | 23.4                        | 8.1                       |                 |
| 1912 | 20 040                      | 637 860     | 426 297 | 211 563        | 31.8                        | 21.3                        | 10.6                      |                 |
| 1913 | 20 170                      | 617 850     | 449 349 | 168 501        | 30.6                        | 22.3                        | 8.4                       |                 |
| 1914 | 20 310                      | 608 207     | 450 340 | 157 867        | 29.9                        | 22.2                        | 7.8                       |                 |
| 1915 | 20 430                      | 631 462     | 452 479 | 178 983        | 30.9                        | 22.1                        | 8.8                       |                 |
| 1916 | 20 610                      | 599 011     | 441 673 | 157 338        | 29.1                        | 21.4                        | 7.6                       |                 |
| 1917 | 20 740                      | 602 139     | 465 722 | 136 417        | 29.0                        | 22.5                        | 6.6                       |                 |
| 1918 | 20 910                      | 612 637     | 695 758 | -83 121        | 29.3                        | 33.3                        | -4.0                      |                 |
| 1919 | 21 000                      | 585 963     | 482 752 | 103 211        | 27.9                        | 23.0                        | 4.9                       |                 |
| 1920 | 21 130                      | 623 339     | 494 540 | 128 799        | 29.5                        | 23.4                        | 6.1                       |                 |
| 1921 | 21 270                      | 648 892     | 455 469 | 193 423        | 30.5                        | 21.4                        | 9.1                       |                 |
| 1922 | 21 510                      | 656 093     | 441 330 | 214 763        | 30.5                        | 20.5                        | 10.0                      | 4,02            |
| 1923 | 21 740                      | 662 576     | 449 683 | 212 893        | 30.5                        | 20.7                        | 9.8                       | 4,02            |
| 1924 | 21 990                      | 653 085     | 430 590 | 222 495        | 29.7                        | 19.6                        | 10.1                      | 3,92            |
| 1925 | 22 160                      | 644 741     | 432 400 | 212 341        | 29.1                        | 19.5                        | 9.6                       | 3,82            |
| 1926 | 22 400                      | 663 401     | 420 838 | 242 563        | 29.6                        | 18.8                        | 10.8                      | 3,87            |
| 1927 | 22 610                      | 636 028     | 419 816 | 216 212        | 28.1                        | 18.6                        | 9.6                       | 3,70            |
| 1928 | 22 860                      | 666 240     | 413 002 | 253 238        | 29.1                        | 18.1                        | 11.1                      | 3,80            |
| 1929 | 23 120                      | 653 668     | 407 486 | 246 182        | 28.3                        | 17.6                        | 10.7                      | 3,69            |
| 1930 | 23 340                      | 660 860     | 394 488 | 266 372        | 28.3                        | 16.9                        | 11.4                      | 3,68            |
| 1931 | 23 510                      | 649 276     | 408 977 | 240 299        | 27.6                        | 17.4                        | 10.2                      | 3,58            |
| 1932 | 23 897                      | 670 670     | 388 900 | 281 770        | 28.3                        | 16.5                        | 11.8                      | 3,64            |
| 1933 | 24 122                      | 667 866     | 394 750 | 273 116        | 27.9                        | 16.5                        | 11.4                      | 3,59            |
| 1934 | 24 349                      | 641 889     | 392 793 | 249 096        | 26.4                        | 16.1                        | 10.2                      | 3,38            |
| 1935 | 24 578                      | 636 725     | 388 757 | 247 968        | 25.9                        | 15.8                        | 10.1                      | 3,31            |
| 1936 | 24 810                      | 617 220     | 417 108 | 200 112        | 24.9                        | 16.8                        | 8.1                       | 3,18            |
| 1937 | 25 043                      | 568 977     | 475 310 | 93 667         | 22.7                        | 19.0                        | 3.7                       | 2,89            |
| 1938 | 25 279                      | 508 726     | 487 546 | 21 180         | 20.1                        | 19.3                        | 0.8                       | 2,56            |
| 1939 | 25 517                      | 422 345     | 472 611 | -50 266        | 16.6                        | 18.5                        | -2.0                      | 2,12            |
| 1940 | 25 757                      | 631 285     | 428 416 | 202 869        | 24.5                        | 16.6                        | 7.9                       | 3,09            |
| 1941 | 25 999                      | 511 157     | 487 748 | 23 409         | 19.7                        | 18.8                        | 0.9                       | 2,47            |
