"Year","Title","Role","Notes"
"1974","Sam","Sylvia Brightside",""
"1974","Village Hall","Other Voter",""
"1974","The Wheeltappers and Shunters Social Club","Waitress",""
"1972-1975","Crown Court","Female Officer/Warder/Bedelia Conroy",""
"1973-1975","Play for Today","Canteen Lady (sunset across the Bay [Alan Bennett]1975 /Striker/Mrs. Warboys/Enid",""
"1975","Greenhill Pals","May","TV Film"
"1976","Open All Hours","Woman Outside Shop",""
"1978","Z-Cars","Rose",""
"1978","Selwyn","Mavis",""
"1979","All Day on the Sands","Derek's mother","TV Film"
"1997","Coronation Street: Viva Las Vegas!","Vera Duckworth","Direct-to-video Coronation Street spin off"
"1974, 1976-2008, 2010","Coronation Street","Vera Duckworth","2001 British Soap Award for Best On-Screen Couple (shared with William Tarmey)
2008 British Soap Award Lifetime Achievement
Nominated - 1999 British Soap Award for Best On-Screen Partnership (shared with William Tarmey)
Nominated - 2008 Television and Radio Industries Club Award for TV Soap Personality"
