| Period    | Live births per year | Deaths per year | Natural change per year | CBR1 | CDR1 | NC1  | TFR1 | IMR1  |
| 1950-1955 | 9 000                | 5 000           | 4 000                   | 47.9 | 27.1 | 20.8 | 6.67 | 184.8 |
| 1955-1960 | 10 000               | 6 000           | 5 000                   | 49.0 | 26.8 | 22.3 | 6.67 | 181.4 |
| 1960-1965 | 12 000               | 6 000           | 6 000                   | 48.5 | 25.7 | 22.8 | 6.67 | 174.1 |
| 1965-1970 | 13 000               | 7 000           | 7 000                   | 47.8 | 24.1 | 23.8 | 6.67 | 163.1 |
| 1970-1975 | 16 000               | 7 000           | 8 000                   | 47.0 | 22.0 | 25.1 | 6.67 | 149.3 |
| 1975-1980 | 18 000               | 8 000           | 10 000                  | 45.8 | 19.6 | 26.2 | 6.67 | 133.2 |
| 1980-1985 | 20 000               | 8 000           | 12 000                  | 42.7 | 17.1 | 25.6 | 6.39 | 117.1 |
| 1985-1990 | 21 000               | 8 000           | 13 000                  | 40.4 | 15.0 | 25.3 | 6.11 | 104.0 |
| 1990-1995 | 19 000               | 7 000           | 12 000                  | 35.2 | 12.5 | 22.7 | 5.27 | 87.5  |
| 1995-2000 | 16 000               | 5 000           | 11 000                  | 29.2 | 9.9  | 19.3 | 4.13 | 69.7  |
| 2000-2005 | 15 000               | 5 000           | 11 000                  | 25.2 | 7.9  | 17.2 | 3.30 | 52.8  |
| 2005-2010 | 15 000               | 5 000           | 10 000                  | 21.5 | 7.2  | 14.4 | 2.61 | 44.4  |
