Film	Year	Role	Language
Miss Christina	2013	Mrs. Moscu	Romanian
The Secret of Polichinelle	2013	Maya	Romanian
Fata din Transilvania	2011		Romanian
La fin du silence	2011	the mother	French
Sange Tanar, Munti Si Brazi	2011	Mama	Romanian drama
Luna verde	2010	Simona	Romanian
Iubire si onoare (tv series)	2010–2011	Marieta	Romanian
Aniela (tv series)	2009–2010	Maica Stareţa	Romanian
The House of Terror	2008 (pre-production)	Eszter Somos	English
Eva	2009	Maria	English
The Fence	2007 (in production)	Herman's mother	English
Mansfeld	2006	Mrs. Mansfeld	Hungarian / English / Russian / German
Margo	2006	Margo's stepmother	Romanian
Visuri otrăvite ("Poisoned Dreams")	2006	Ada's mother	Romanian
15	2005	Irene	Romanian / French
L'Homme pressé	2005, TV	Bonne de Bois de Rose	French
Orient Express	2004	Amalia Frunzetti	Romanian
Damen tango	2004		Romanian
The Passion of the Christ	2004	Mary	Aramaic
Căsătorie imposibilă ("Impossible marriage")	2004, TV series		Romanian
Bolondok éneke (Fool's Song)	2003	Gina	Hungarian / French / Romanian
A Rózsa énekei (Rose's Songs)	2003	Olga	Hungarian
Patul lui Procust (Procust's Bed)\nBased on Camil Petrescu's novel Patul lui Procust	2001	Doamna T.	Romanian
Dark Prince: The True Story of Dracula	2000, TV	woman at the fountain	English
Marie, Nonna, la vierge et moi	2000	Nonna	French
Kínai védelem (Chinese Defense)	1999		Hungarian
Faţă în faţă (Face to Face)	1999		Romanian
Triunghiul morţii ("Triangle of Death")	1999	Regina Maria	Romanian
Az Álombánya	1998, TV, short		Hungarian
Witman fiúk (Witman Boys)	1997	Mrs. Witman	Hungarian
Omul zilei (The Man of the Day)	1997		Romanian
Ulysses' Gaze(original Greek title: Το Βλέμμα του Οδυσσέα, To Vlemma tou Odyssea)	1995	playing opposite Harvey Keitel as Ulysses' wife	English / Greek
Siódmy pokój (The Seventh Room)	1995	Edith Stein (the starring role)	Hungarian
Nostradamus	1994	Helen	English
Trahir (Betrayal, Romanian title: A trada)	1993	woman in prison	French / Romanian
Casa din vis ("The House from the Dream")	1993		Romanian
Cel mai iubit dintre pămînteni (The Earth's Most Beloved Son)\nbased on Marin Preda's novel Cel mai iubit dintre pământeni	1993		Romanian
Balanţa (The Oak)	1992	Nela (the starring role)	Romanian
Rămînerea (Forgotten by God)	1992		Romanian
Băiatul cu o singură bretea, also known as Flăcăul cu o singura bretea\n("The Boy with a Single Brace")	1991		Romanian
Cei care plătesc cu viaţa\n(Those Who Pay with Their Lives)	1991		Romanian
Pasaj	1990		Romanian
Marea sfidare ("The great defiance")	1989		Romanian
Maria şi marea ("Maria and the Sea")	1988	Maria	Romanian
Anotimpul iubirii (The Season of Love)	1986		Romanian
Secretul lui Bachus\n(The Secret of Bacchus)	1984	the girl in the restaurant\n(as Maia Morgenstern Istodor)	Romanian
Dreptate în lanţuri (Chained Justice)	1983		Romanian
Prea cald pentru luna mai\n("Too hot for the month of May")	1983		Romanian
