"Season","Level","Division","Section","Position","Movements"
"1993","Tier 3","Division 2","Västra Götaland","1st",""
"1994","Tier 2","Division 1","Södra","7th",""
"1995","Tier 2","Division 1","Södra","5th",""
"1996","Tier 2","Division 1","Södra","2nd","Promoted"
"1997","Tier 1","Allsvenskan","","14th","Panos Ljungskile SK - Relegated"
"1998","Tier 2","Division 1","Södra","6th","Panos Ljungskile SK"
"1999","Tier 2","Division 1","Södra","4th","Panos Ljungskile SK"
"2000","Tier 2","Superettan","","15th","Panos Ljungskile SK - Relegated"
"2001","Tier 3","Division 2","Västra Götaland","1st","Panos Ljungskile SK - Promotion Playoffs"
"2002","Tier 3","Division 2","Västra Götaland","6th","Panos Ljungskile SK"
"2003","Tier 3","Division 2","Västra Götaland","2nd",""
"2004","Tier 3","Division 2","Västra Götaland","1st","Promotion Playoffs - Promoted"
"2005","Tier 2","Superettan","","4th",""
"2006*","Tier 2","Superettan","","6th",""
"2007","Tier 2","Superettan","","2nd","Promoted"
"2008","Tier 1","Allsvenskan","","14th","Relegation Playoffs - Relegated"
"2009","Tier 2","Superettan","","9th",""
"2010","Tier 2","Superettan","","6th",""
"2011","Tier 2","Superettan","","8th",""
"2012","Tier 2","Superettan","","5th",""
"2013","Tier 2","Superettan","","9th",""
