Name	Function	Sentence
Ernst von Weizsäcker	Permanent Secretary of State in the Auswärtiges Amt (Foreign Ministry) under Ribbentrop until 1943, then ambassador to the Holy See; SS-Brigadeführer.	7 years' imprisonment; reduced to 5 years on December 12, 1949, released in October 1950.
Gustav Adolf Steengracht von Moyland	Successor of von Weizsäcker as Secretary of State in the Foreign Ministry (until 1945)	7 years' imprisonment; reduced to 5 years on December 12, 1949, released 1950
Wilhelm Keppler	Secretary of State; Hitler's advisor for economy	10 years' imprisonment; released 1951
Ernst Wilhelm Bohle	NS-Gauleiter, Secretary of State in the Foreign Ministry; head of the Auslandorganisation (foreign organization) of the NSDAP.	5 years' imprisonment
Ernst Woermann (de)	Secretary in the Foreign Ministry; head of the political division.	7 years' imprisonment; reduced to 5 years on December 12, 1949; released 1951
Karl Ritter	Liaison between Foreign Office and the High Command of the German armed forces.	4 years' imprisonment incl. time already served; released after the judgment.
Otto von Erdmannsdorff	Secretary in the Foreign Ministry; deputy to Wörmann.	acquitted
Edmund Veesenmayer	Plenipotentiary in Hungary	20 years' imprisonment; reduced to 10 years in 1951 and released the same year.
Hans Heinrich Lammers	Head of the Reich Chancellery	20 years' imprisonment; reduced to 10 years in January 1951 and released December 16, 1951.
Wilhelm Stuckart	Secretary of State in the Interior Ministry	Time already served (3 years and 10 months)
Richard Walther Darré	Minister for Food and Agriculture	7 years' imprisonment; released 1950
Otto Meissner	Head of the Presidential Chancellery	acquitted
Otto Dietrich	Reichspressechef of the NSDAP and Secretary of State in the Propagandaministerium	7 years' imprisonment incl. time already served; released in 1950.
Gottlob Berger	Head of the SS-Hauptamt, SS-Obergruppenführer	25 years' imprisonment; reduced to 10 years in 1951; released the same year.
Walter Schellenberg	Second-in-command of the Gestapo, head of the SD and the Abwehr, and successor of Wilhelm Canaris as the head of the Combined Secret Services; SS-Brigadeführer.	6 years' imprisonment incl. time already served
Lutz Graf Schwerin von Krosigk	Minister of Finance	10 years' imprisonment; released in 1951
Emil Puhl	Vice-president of the Reichsbank	5 years' imprisonment incl. time already served
Karl Rasche	Director of the Dresdner Bank	7 years' imprisonment incl. time already served
Paul Körner (de)	Secretary of State, deputy of Göring.	15 years' imprisonment; reduced to 10 years in 1951; released the same year.
Paul Pleiger	Head of the Reichswerke Hermann Göring (confiscated steel plants employing slave laborers)	15 years' imprisonment; reduced to 10 years in 1951; released the same year.
Hans Kehrl (de)	Secretary in the Ministry of Armament; head of the planning office	15 years' imprisonment; released in 1951
