| Year            | Name                                           | Source         | Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| c. 486 BC       | Hidush                                         | Naksh-i-Rustam | "Says Darius the King: By the grace of Ormazd these (are) the countries which I have acquired besides Persia. I have established my power over them. They have brought tribute to me. That which has been said to them by me they have done. They have obeyed my law. Medea... Arachotia (Harauvatish), Sattagydia (Thatagush), Gandaria (Gadára), India (Hidush)...."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| c.400-300 BC    | Hodu                                           | Book of Esther | says "Now it took place in the days of Ahasuerus, the Ahasuerus who reigned from Hodu(India) to Cush(Ethiopia) over 127 provinces"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| c. 440 BC       | India                                          | Herodotus      | "Eastward of India lies a tract which is entirely sand. Indeed, of all the inhabitants of Asia, concerning whom anything is known, the Indians dwell nearest to the east, and the rising of the Sun."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| c. 300 BC       | India/Indikē                                   | Megasthenes    | "India then being four-sided in plan, the side which looks to the Orient and that to the South, the Great Sea compasseth; that towards the Arctic is divided by the mountain chain of Hēmōdus from Scythia, inhabited by that tribe of Scythians who are called Sakai; and on the fourth side, turned towards the West, the Indus marks the boundary, the biggest or nearly so of all rivers after the Nile."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| c. 140.         | Indoi, Indou                                   | Arrian         | "The boundary of the land of India towards the north is Mount Taurus. It is not still called Taurus in this land; but Taurus begins from the sea over against Pamphylia and Lycia and Cilicia; and reaches as far as the Eastern Ocean, running right across Asia. But the mountain has different names in different places; in one, Parapamisus, in another Hemodus; elsewhere it is called Imaon, and perhaps has all sorts of other names; but the Macedonians who fought with Alexander called it Caucasus; another Caucasus, that is, not the Scythian; so that the story ran that Alexander came even to the far side of the Caucasus. The western part of India is bounded by the river Indus right down to the ocean, where the river runs out by two mouths, not joined together as are the five mouths of the Ister; but like those of the Nile, by which the Egyptian delta is formed; thus also the Indian delta is formed by the river Indus, not less than the Egyptian; and this in the Indian tongue is called Pattala. Towards the south this ocean bounds the land of India, and eastward the sea itself is the boundary. The southern part near Pattala and the mouths of the Indus were surveyed by Alexander and Macedonians, and many Greeks; as for the eastern part, Alexander did not traverse this beyond the river Hyphasis. A few historians have described the parts which are this side of the Ganges and where are the mouths of the Ganges and the city of Palimbothra, the greatest Indian city on the Ganges. (...) The Indian rivers are greater than any others in Asia; greatest are the Ganges and the Indus, whence the land gets its name; each of these is greater than the Nile of Egypt and the Scythian Ister, even were these put together; my own idea is that even the Acesines is greater than the Ister and the Nile, where the Acesines having taken in the Hydaspes, Hydraotes, and Hyphasis, runs into the Indus, so that its breadth there becomes thirty stades. Possibly also other greater rivers run through the land of India." |
| 320 CE or later | Bhāratam                                       | Vishnu Purana  | "उत्तरं यत्समुद्रस्य हिमाद्रेश्चैव दक्षिणम् । वर्षं तद् भारतं नाम भारती यत्र संततिः ।।" i.e. "The country (varṣam) that lies north of the ocean and south of the snowy mountains is called Bhāratam; there dwell the descendants of Bharata."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| c. 590.         | Hind                                           | Istakhri       | "As for the land of the Hind it is bounded on the East by the Persian Sea (i.e. the Indian Ocean), on the W. and S. by the countries of Islām, and on the N. by the Chinese Empire. . . . The length of the land of the Hind from the government of Mokrān, the country of Mansūra and Bodha and the rest of Sind, till thou comest to Kannūj and thence passest on to Tibet, is about 4 months, and its breadth from the Indian Ocean to the country of Kannūj about three months."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| c. 650          | Five Indies                                    | Xuanzang       | "The circumference of 五印 (Modern Chinese: Wǔ Yìn, the Five Indies) is about 90,000 li; on three sides it is bounded by a great sea; on the north it is backed by snowy mountains. It is wide at the north and narrow at the south; its figure is that of a half-moon."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| c. 944.         | Hind, Sind                                     | Masudi         | "For the nonce let us confine ourselves to summary notices concerning the kings of Sind and Hind. The language of Sind is different from that of Hind. . . ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| c. 1020         | Hind                                           | Al-Birūnī      | "Hind is surrounded on the East by Chín and Máchín, on the West by Sind and Kábul, and on the South by the Sea."-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
