| Office                                                               | Name                                   | Dates                               | Notes                                                                                               |
| Prime Minister and First Lord of the Treasury                        | Clement Attlee                         | 26 July 1945 – 26 October 1951      |                                                                                                     |
| Lord Chancellor                                                      | The Lord Jowitt                        | 27 July 1945                        |                                                                                                     |
| Lord President of the Council                                        | Herbert Morrison                       | 27 July 1945                        | also Leader of the House of Commons                                                                 |
| Lord President of the Council                                        | The Viscount Addison                   | 9 March 1951                        | also Leader of the House of Lords                                                                   |
| Lord Privy Seal                                                      | Arthur Greenwood                       | 27 July 1945                        |                                                                                                     |
| Lord Privy Seal                                                      | The Lord Inman                         | 17 April 1947                       |                                                                                                     |
| Lord Privy Seal                                                      | The Viscount Addison                   | 7 October 1947                      | also Leader of the House of Lords                                                                   |
| Lord Privy Seal                                                      | Ernest Bevin                           | 9 March 1951                        |                                                                                                     |
| Lord Privy Seal                                                      | Richard Stokes                         | 26 April 1951                       | Also Minister of Materials from 6 July 1951                                                         |
| Chancellor of the Exchequer                                          | Hugh Dalton                            | 27 July 1945                        |                                                                                                     |
| Chancellor of the Exchequer                                          | Sir Stafford Cripps                    | 13 November 1947                    |                                                                                                     |
| Chancellor of the Exchequer                                          | Hugh Gaitskell                         | 19 October 1950                     |                                                                                                     |
| Minister of Economic Affairs                                         | Sir Stafford Cripps                    | 29 September 1947                   | New office. Combined with Chancellor of the Exchequer November 1947                                 |
| Minister of Economic Affairs                                         | Hugh Gaitskell                         | 28 February 1950 – 19 October 1950  |                                                                                                     |
| Parliamentary Secretary to the Treasury                              | William Whiteley                       | 3 August 1945                       |                                                                                                     |
| Financial Secretary to the Treasury                                  | Glenvil Hall                           | 4 August 1945                       |                                                                                                     |
| Financial Secretary to the Treasury                                  | Douglas Jay                            | 2 March 1950                        |                                                                                                     |
| Economic Secretary to the Treasury                                   | Douglas Jay                            | 5 December 1947                     | Office vacant 2 March 1950                                                                          |
| Economic Secretary to the Treasury                                   | John Edwards                           | 19 October 1950                     |                                                                                                     |
| Lords of the Treasury                                                | Robert John Taylor                     | 4 August 1945 – 26 October 1951     |                                                                                                     |
| Lords of the Treasury                                                | Joseph Henderson                       | 4 August 1945 – 1 January 1950      |                                                                                                     |
| Lords of the Treasury                                                | Michael Stewart                        | 10 August 1945 – 30 March 1946      |                                                                                                     |
| Lords of the Treasury                                                | Arthur Blenkinsop                      | 10 August 1945 – 10 May 1946        |                                                                                                     |
| Lords of the Treasury                                                | Frank Collindridge                     | 10 August 1945 – 9 December 1946    |                                                                                                     |
| Lords of the Treasury                                                | Charles Simmons                        | 30 March 1946 – 1 February 1949     |                                                                                                     |
| Lords of the Treasury                                                | William Hannan                         | 10 May 1946 – 26 October 1951       |                                                                                                     |
| Lords of the Treasury                                                | Julian Snow                            | 9 December 1946 – 3 March 1950      |                                                                                                     |
| Lords of the Treasury                                                | Richard Adams                          | 1 February 1949 – 23 April 1950     |                                                                                                     |
| Lords of the Treasury                                                | William Wilkins                        | 1 January 1950 – 26 October 1951    |                                                                                                     |
| Lords of the Treasury                                                | Herbert Bowden                         | 3 March 1950 – 26 October 1951      |                                                                                                     |
| Lords of the Treasury                                                | Charles Royle                          | 23 April 1950 – 26 October 1951     |                                                                                                     |
| Secretary of State for Foreign Affairs                               | Ernest Bevin                           | 27 July 1945                        |                                                                                                     |
| Secretary of State for Foreign Affairs                               | Herbert Morrison                       | 9 March 1951                        |                                                                                                     |
| Minister of State for Foreign Affairs                                | Philip Noel-Baker                      | 3 August 1945                       |                                                                                                     |
| Minister of State for Foreign Affairs                                | Hector McNeil                          | 4 October 1946                      |                                                                                                     |
| Minister of State for Foreign Affairs                                | Kenneth Younger                        | 28 February 1950                    |                                                                                                     |
| Parliamentary Under-Secretary of State for Foreign Affairs           | Hector McNeil                          | 4 August 1945 – 4 October 1946      |                                                                                                     |
| Parliamentary Under-Secretary of State for Foreign Affairs           | Christopher Mayhew                     | 4 October 1946 – 2 March 1950       |                                                                                                     |
| Parliamentary Under-Secretary of State for Foreign Affairs           | The Lord Henderson                     | 7 June 1948 – 26 October 1951       |                                                                                                     |
| Parliamentary Under-Secretary of State for Foreign Affairs           | Ernest Davies                          | 2 March 1950 – 26 October 1951      |                                                                                                     |
| Secretary of State for the Home Department                           | James Chuter Ede                       | 3 August 1945                       | also Leader of the House of Commons 1951                                                            |
| Under-Secretary of State for the Home Department                     | George Oliver                          | 4 August 1945                       |                                                                                                     |
| Under-Secretary of State for the Home Department                     | Kenneth Younger                        | 7 October 1947                      |                                                                                                     |
| Under-Secretary of State for the Home Department                     | Geoffrey de Freitas                    | 2 March 1950                        |                                                                                                     |
| First Lord of the Admiralty                                          | A. V. Alexander                        | 3 August 1945                       |                                                                                                     |
| First Lord of the Admiralty                                          | George Henry Hall                      | 4 October 1946                      | Not in cabinet                                                                                      |
| First Lord of the Admiralty                                          | The Lord Pakenham                      | 24 May 1951                         |                                                                                                     |
| Parliamentary and Financial Secretary to the Admiralty               | John Dugdale                           | 4 August 1945                       |                                                                                                     |
| Parliamentary and Financial Secretary to the Admiralty               | James Callaghan                        | 2 March 1950                        |                                                                                                     |
| Civil Lord of the Admiralty                                          | Walter James Edwards                   | 4 August 1945                       |                                                                                                     |
| Minister of Agriculture and Fisheries                                | Tom Williams                           | 3 August 1945                       |                                                                                                     |
| Parliamentary Secretary to the Ministry of Agriculture and Fisheries | The Earl of Huntingdon                 | 4 August 1945 – 22 November 1950    |                                                                                                     |
| Parliamentary Secretary to the Ministry of Agriculture and Fisheries | Percy Collick                          | 5 September 1945 – 7 October 1947   |                                                                                                     |
| Parliamentary Secretary to the Ministry of Agriculture and Fisheries | George Brown                           | 7 October 1947 – 26 April 1951      |                                                                                                     |
| Parliamentary Secretary to the Ministry of Agriculture and Fisheries | The Earl of Listowel                   | 22 November 1950 – 26 October 1951  |                                                                                                     |
| Parliamentary Secretary to the Ministry of Agriculture and Fisheries | Arthur Champion                        | 26 April 1951 – 26 October 1951     |                                                                                                     |
| Secretary of State for Air                                           | The Viscount Stansgate                 | 3 August 1945                       |                                                                                                     |
| Secretary of State for Air                                           | Philip Noel-Baker                      | 4 October 1946                      | Not in Cabinet                                                                                      |
| Secretary of State for Air                                           | Arthur Henderson                       | 7 October 1947                      |                                                                                                     |
| Under-Secretary of State for Air                                     | John Strachey                          | 4 August 1945                       |                                                                                                     |
| Under-Secretary of State for Air                                     | Geoffrey de Freitas                    | 27 May 1946                         |                                                                                                     |
| Under-Secretary of State for Air                                     | Aidan Crawley                          | 2 March 1950                        |                                                                                                     |
| Minister of Aircraft Production                                      | John Wilmot                            | 4 August 1945                       | Office abolished 1 April 1946                                                                       |
| Parliamentary Secretary to the Minister of Aircraft Production       | Arthur Woodburn                        | 4 August 1945                       |                                                                                                     |
| Minister of Civil Aviation                                           | The Lord Winster                       | 4 August 1945                       |                                                                                                     |
| Minister of Civil Aviation                                           | The Lord Nathan                        | 4 October 1946                      |                                                                                                     |
| Minister of Civil Aviation                                           | The Lord Pakenham                      | 31 May 1948                         | Office in Cabinet until 28 February 1950                                                            |
| Minister of Civil Aviation                                           | The Lord Ogmore                        | 1 June 1951                         |                                                                                                     |
| Parliamentary Secretary to the Minister of Civil Aviation            | I. Thomas                              | 10 August 1945                      |                                                                                                     |
| Parliamentary Secretary to the Minister of Civil Aviation            | George Lindgren                        | 4 October 1946                      |                                                                                                     |
| Parliamentary Secretary to the Minister of Civil Aviation            | Frank Beswick                          | 2 March 1950                        |                                                                                                     |
| Secretary of State for the Colonies                                  | George Hall                            | 3 August 1945                       |                                                                                                     |
| Secretary of State for the Colonies                                  | Arthur Creech Jones                    | 4 October 1946                      |                                                                                                     |
| Secretary of State for the Colonies                                  | James Griffiths                        | 28 February 1950                    |                                                                                                     |
| Minister of State for the Colonies                                   | The Earl of Listowel                   | 4 January 1948                      |                                                                                                     |
| Minister of State for the Colonies                                   | John Dugdale                           | 28 February 1950                    |                                                                                                     |
| Under-Secretary of State for the Colonies                            | Arthur Creech Jones                    | 4 August 1945                       |                                                                                                     |
| Under-Secretary of State for the Colonies                            | I. Thomas                              | 4 October 1946                      |                                                                                                     |
| Under-Secretary of State for the Colonies                            | David Rees-Williams                    | 7 October 1947                      |                                                                                                     |
| Under-Secretary of State for the Colonies                            | Thomas Fotheringham Cook               | 2 March 1950                        |                                                                                                     |
| Secretary of State for Commonwealth Relations                        | The Viscount Addison                   | 7 July 1947                         | also Leader of the House of Lords                                                                   |
| Secretary of State for Commonwealth Relations                        | Philip Noel-Baker                      | 7 October 1947                      |                                                                                                     |
| Secretary of State for Commonwealth Relations                        | Patrick Gordon Walker                  | 28 February 1950                    |                                                                                                     |
| Minister of State for Commonwealth Relations                         | Arthur Henderson                       | 14 August 1947 – 7 October 1947     |                                                                                                     |
| Under-Secretary of State for Commonwealth Relations                  | Arthur Bottomley                       | 7 July 1947                         |                                                                                                     |
| Under-Secretary of State for Commonwealth Relations                  | Patrick Gordon Walker                  | 7 October 1947                      |                                                                                                     |
| Under-Secretary of State for Commonwealth Relations                  | The Lord Holden                        | 2 March 1950                        |                                                                                                     |
| Under-Secretary of State for Commonwealth Relations                  | David Rees-Williams                    | 4 July 1950                         | Lord Ogmore from 5 July                                                                             |
| Under-Secretary of State for Commonwealth Relations                  | The Earl of Lucan                      | 1 July 1951                         |                                                                                                     |
| Minister of Defence                                                  | Clement Attlee                         | 27 July 1945                        | Also Prime Minister                                                                                 |
| Minister of Defence                                                  | A. V. Alexander                        | 20 December 1946                    |                                                                                                     |
| Minister of Defence                                                  | Emanuel Shinwell                       | 28 February 1950                    |                                                                                                     |
