"№","№","Name
(Birth–Death)
(Title)","Portrait","Term start","Term end","Political Party","Head of State"
"1","1","King Norodom Sihanouk
(1922–2012)
Prime Minister","","18 March 1945","13 August 1945","Non-party","King Norodom Sihanouk"
"2","2","Son Ngoc Thanh
(1908–1977)
Prime Minister","","14 August 1945","16 October 1945","Non-party","King Norodom Sihanouk"
"3","3","Prince Sisowath Monireth
(1909–1975)
Prime Minister","","17 October 1945","15 December 1946","Non-party","King Norodom Sihanouk"
"4","4","Prince Sisowath Youtevong
(1913–1947)
Prime Minister","","15 December 1946","15 July 1947","Democratic Party","King Norodom Sihanouk"
"5","5","Prince Sisowath Watchayavong
(1891–1972)
Prime Minister","","25 July 1947","20 February 1948","Democratic Party","King Norodom Sihanouk"
"6","6","Chhean Vam
(1916–2000)
Prime Minister","","20 February 1948","14 August 1948","Democratic Party","King Norodom Sihanouk"
"7","7","Samdech Penn Nouth
(1906–1985)
Prime Minister","","15 August 1948","21 January 1949","Democratic Party","King Norodom Sihanouk"
"8","8","Yem Sambaur
(1913–1989)
Prime Minister","","12 February 1949","20 September 1949","Democratic Party","King Norodom Sihanouk"
"9","9","Ieu Koeus
(1905–1950)
Prime Minister","","20 September 1949","29 September 1949","Democratic Party","King Norodom Sihanouk"
"(8)","10","Yem Sambaur
(1913–1989)
Prime Minister
(2nd term)","","29 September 1949","28 April 1950","Democratic Party","King Norodom Sihanouk"
"(1)","11","King Norodom Sihanouk
(1922–2012)
Prime Minister
(2nd term)","","28 April 1950","30 May 1950","Non-party","King Norodom Sihanouk"
"10","12","Prince Sisowath Monipong
(1912–1956)
Prime Minister","","30 May 1950","3 March 1951","Non-party","King Norodom Sihanouk"
"11","13","Oum Chheang Sun
(1900–?)
Prime Minister","","3 March 1951","12 October 1951","National Democratic Party","King Norodom Sihanouk"
"12","14","Huy Kanthoul
(1909–1991)
Prime Minister","","13 October 1951","16 June 1952","Democratic Party","King Norodom Sihanouk"
