Station	Station Connections	Date Opened	Station Parking	City/ Neighborhood
Redondo Beach	Metro Local: 126, 215\nBeach Cities Transit 102\nLADOT Commuter Express: 574\nLawndale Beat Express, Residential Routes	August 12, 1995	403 Spaces	Redondo Beach
Douglas	Metro Local: 125\nAmtrak California Thruway Motorcoach: Route 1C\nBeach Cities Transit: 109 (northbound only)	August 12, 1995	30 Spaces	El Segundo
El Segundo	Gardena Transit: 5\nLADOT Commuter Express: 574\nMunicipal Area Express: 2, 3, 3X\nTorrance Transit: 8 (Southbound)	August 12, 1995	90 Spaces	El Segundo
Mariposa	Metro Local: 232\nTorrance Transit: 8 (Southbound)	August 12, 1995	No parking	El Segundo
Aviation/LAX	Metro Local: 40 Owl, 120, 625\nLAX Shuttle: Route G (serves LAX Terminals 1-8 and the Tom Bradley International Terminal)\nSanta Monica Transit: 3, Rapid 3\nCulver City Transit: 6, Rapid 6\nBeach Cities Transit: 109\nMunicipal Area Express: 2, 3, 3X	August 12, 1995	405 Spaces	El Segundo
Hawthorne/Lennox	Metro Local: 40, 126, 212, 312\nMetro Express: 442\nMetro Rapid: 740	August 12, 1995	623 Spaces	Hawthorne
Crenshaw	Metro Local: 126, 207 (Weekdays selected Rush Hour AM/PM trips, & Weekends Only), 210\nMetro Rapid: 710, 757\nTorrance Transit: 5, 10	August 12, 1995	513 Spaces	Hawthorne
Vermont/Athens	Metro Local: 204, 206, 209\nMetro Rapid: 754\nGardena Transit:2	August 12, 1995	155 Spaces	Athens
Harbor Freeway	Metro Silver Line  \nMetro Local: 45, 81, 120\nMetro Express: 450 (Weekdays Rush Hour AM/PM trips, & Sundays Only), 550\nMetro Rapid: 745\nLADOT Commuter Express: 448\nOrange County Transportation Authority: 721\nGardena Transit: 1X\nTorrance Transit: 1, 2, 4	August 12, 1995	253 Spaces	South Los Angeles
Avalon	Metro Local: 48, 51, 52, 53, 352\nLADOT DASH: Watts\nWillowbrook Shuttle	August 12, 1995	158 Spaces	South Los Angeles
Willowbrook	Metro Blue Line  \nMetro Local: 55, 120, 205, 355, 612\nGardena Transit: 5\nLADOT DASH: Watts\nLynwood Breeze Route D\nWillowbrook Shuttle: A, B, King Medical Center	August 12, 1995	975 Spaces	Willowbrook
Long Beach Boulevard	Metro Local: 60, 251\nMetro Rapid: 760\nLynwood Trolley: A	August 12, 1995	650 Spaces	Lynwood
Lakewood Boulevard	Metro Local: 117, 265, 266	August 12, 1995	545 Spaces	Downey
Norwalk	Metro Local: 111, 115, 120, 125, 270, 311\nMetro Express: 460, 577X\nNorwalk Transit: 2, 4, 5\nLong Beach Transit: 172, 173	August 12, 1995	2050 Spaces	Norwalk
