Date and time	Opponent	Location	Notes
26 June 1918, 2035 hrs	Pfalz D.III	East of Albert, Somme	
13 July 1918, 0857 hrs	Albatros D.V	Poperinghe	
3 August 1918, 0930 hrs	Fokker D.VII	Southeast of Ostend	
13 August 1918, 1352 hrs	Fokker D.VII	North of Roye, Somme	Flown by Lothar von Richthofen
2 September 1918, 1150 hrs	Fokker D.VII	South of Rumaucourt	
5 September 1918, 1720 hrs	Fokker D.VII	Saint-Quentin, Aisne Lake	
15 September 1918, 1050 hrs	Fokker D.VII	Epinoy	
17 September 1918, 1300 hrs	Fokker D.VII	Epinoy	
24 September 1918, 0728 hrs	Fokker D.VII	West of Cambrai	
26 September 1918, 1325 hrs	Fokker D.VII	East of Bourlon Wood	
27 September 1918, 0920 hrs	Halberstadt (Unspecified C-series)	Noyelles-sous-Lens/L'Escaut	
28 October 1918, 1205 hrs	Fokker D.VII	Villers-Pol	Shared with Lt. Jesse Creech
