"Year","Position (after finals)","Coach","Captain","Best & Fairest","Leading goalkicker (goals)"
"1997","9","John Cahill","Gavin Wanganeen","Darren Mead","Scott Cummings (70)"
"1998","10","John Cahill","Gavin Wanganeen","Adam Kingsley","Warren Tredrea (33)"
"1999","7 (7)","Mark Williams","Gavin Wanganeen","Stephen Paxman","Warren Tredrea (40)"
"2000","14","Mark Williams","Gavin Wanganeen","Brett Montgomery","Warren Tredrea (32)"
"2001","3 (5)","Mark Williams","Matthew Primus","Warren Tredrea","Warren Tredrea (51)"
"2002","1 (3)","Mark Williams","Matthew Primus","Matthew Primus","Stuart Dew (51)"
"2003","1 (4)","Mark Williams","Matthew Primus","Gavin Wanganeen","Warren Tredrea (58)"
"2004","1 (Premiers)","Mark Williams","Matthew Primus
Warren Tredrea1","Warren Tredrea","Warren Tredrea (81)"
"2005","8 (6)","Mark Williams","Matthew Primus","Warren Tredrea","Warren Tredrea (65)"
"2006","12","Mark Williams","Warren Tredrea","Brendon Lade","Josh Mahoney (29)"
"2007","2 (Grand Finalist)","Mark Williams","Warren Tredrea","Kane Cornes","Brett Ebert (56)"
"2008","13","Mark Williams","Warren Tredrea","Kane Cornes","Daniel Motlop (57)"
"2009","10","Mark Williams","Domenic Cassisi","Warren Tredrea","Warren Tredrea (51)"
"2010","10","Mark Williams
Matthew Primus2","Domenic Cassisi","Kane Cornes","Jay Schulz (33)"
"2011","16","Matthew Primus","Domenic Cassisi","Travis Boak
Jackson Trengove","Robert Gray (32)"
"2012","14","Matthew Primus
Garry Hocking3","Domenic Cassisi","Kane Cornes","Jay Schulz (42)"
"2013","7 (5)","Ken Hinkley","Travis Boak","Chad Wingard","Jay Schulz (49)"
"2014","","Ken Hinkley","Travis Boak","",""
