Club	Season	League\nApps	League\nGoals	Cup1\nApps	Cup1\nGoals	Continental2\nApps	Continental2\nGoals	Other3\nApps	Other3\nGoals	Total\nApps	Total\nGoals
Anzhi Makhachkala	1999	40	2			-	-	-	-	40	2
Anzhi Makhachkala	2000	30	3			-	-	-	-	30	3
Anzhi Makhachkala	2001	14	0			-	-	-	-	14	0
Anzhi Makhachkala	Total	84	5							84	5
CSKA Moscow	2001	12	1			-	-	-	-	12	1
CSKA Moscow	2002	29	2			2	0	-	-	31	2
CSKA Moscow	2003	28	1			2	0	1	0	31	1
CSKA Moscow	2004	26	1			10	0	1	0	27	1
CSKA Moscow	2005	30	1	0	0	15	0	-	-	45	1
CSKA Moscow	2006	30	1	6	0	7	0	1	0	44	1
CSKA Moscow	2007	27	0	5	0	7	0	1	0	40	0
CSKA Moscow	2008	23	0	3	0	-	-	-	-	18	0
CSKA Moscow	2009	10	0	1	0	6	0	1	0	18	0
CSKA Moscow	2010	11	0	1	0	6	0	0	0	18	0
CSKA Moscow	2011–12	13	0	1	0	1	0	0	0	15	0
CSKA Moscow	2012–13	0	0	1	0	0	0	-	-	1	0
CSKA Moscow	2013–14	1	0	0	0	0	0	-	-	1	0
CSKA Moscow	Total	240	7	1	0	56	0	5	0	302	7
Career total	Career total	324	12	1	0	56	0	5	0	386	12
