Year	Title	Role	Notes
1978	The Big Fix	Pool Man	
1979	French Postcards	Sayyid	
1979	Last Embrace	First Commuter	
1980	Night of the Juggler	Allesandro the Cabbie	
1981	Ragtime	Tateh	
1983	Yentl	Avigdor	Nominated—Golden Globe Award for Best Actor – Motion Picture Musical or Comedy
1983	Daniel	Paul Isaacson	
1985	Maxie	Nick	
1986	Tenkû no shiro Rapyuta	Louis	
1987	The Princess Bride	Inigo Montoya	
1988	Alien Nation	Detective Samuel 'George' Francisco	Nominated—Saturn Award for Best Supporting Actor
1988	The House on Carroll Street	Ray Salwen	
1990	Dick Tracy	88 Keys	
1991	True Colors	John Palmeri	
1991	Impromptu	Alfred de Musset	
1991	The Doctor	Dr. Murray Kaplan	
1993	The Music of Chance	Jim Nashe	
1993	Life with Mikey	Irate Man	
1994	Squanto: A Warrior's Tale	Brother Daniel	
1998	Lulu On The Bridge	Philip Kleinman	
1998	Men with Guns	Andrew	
1999	The Adventures of Elmo in Grouchland	Huxley	
2001	Piñero	Joseph Papp	
2002	Run Ronnie Run	Himself	
2003	Celebrity Train Layouts: Mandy Patinkin	Himself	
2005	The Choking Man	Rick	
2006	Everyone's Hero	Stanley Irving	
2010	4.3.2.1 ... The Countdown Begins	Jago L	
2014	Wish I Was Here	Saul Bloom	
