"Comet","Discoverer(s) or namesake(s)","Orbital period (years)","Spacecraft encounter(s)"
"1P/Halley","Halley","75.32","Giotto (flyby 1986), Vega 1 (flyby 1986), Vega 2 (flyby 1986), Suisei (flyby 1986) ICE (distant flyby 1986), Sakigake (distant flyby 1986)"
"2P/Encke","Encke","3.30",""
"3D/Biela","Biela","",""
"4P/Faye","Faye","7.51",""
"5D/Brorsen","Brorsen","",""
"6P/d'Arrest","d'Arrest","6.54",""
"7P/Pons–Winnecke","Pons & Winnecke","6.36",""
"8P/Tuttle","Tuttle","13.61",""
"9P/Tempel (Tempel 1)","Tempel","5.58","Deep Impact (impactor/flyby 2005), Stardust (flyby 2011)"
"10P/Tempel (Tempel 2)","Tempel","5.37",""
"11P/Tempel–Swift–LINEAR","Tempel & Swift & LINEAR","6.37",""
"12P/Pons–Brooks","Pons & Brooks","70.85",""
"13P/Olbers","Olbers","69.52",""
"14P/Wolf","Wolf","8.74",""
"15P/Finlay","Finlay","6.50",""
"16P/Brooks (Brooks 2)","Brooks","6.14",""
"17P/Holmes","Holmes","6.88",""
"18D/Perrine–Mrkos","Perrine & Mrkos","",""
"19P/Borrelly","Borrelly","6.85","Deep Space 1 (flyby 2001)"
"20D/Westphal","Westphal","",""
"21P/Giacobini–Zinner","Giacobini & Zinner","6.60","ICE (distant flyby 1985)"
"22P/Kopff","Kopff","6.43","CRAF (rendezvous/lander 2000 – cancelled)"
"23P/Brorsen–Metcalf","Brorsen & Metcalf","70.52",""
"24P/Schaumasse","Schaumasse","8.25",""
"25D/Neujmin (Neujmin 2)","Neujmin","",""
"26P/Grigg–Skjellerup","Grigg & Skjellerup","5.31","Giotto (flyby 1992)"
"27P/Crommelin","Crommelin","27.93",""
"28P/Neujmin (Neujmin 1)","Neujmin","18.17",""
"29P/Schwassmann–Wachmann (Schwassmann–Wachmann 1)","Schwassmann & Wachmann","14.69",""
"30P/Reinmuth (Reinmuth 1)","Reinmuth","7.34",""
"31P/Schwassmann–Wachmann (Schwassmann–Wachmann 2)","Schwassmann & Wachmann","8.75",""
"32P/Comas Solá","Comas Solá","8.80",""
"33P/Daniel","Daniel","8.07",""
"34D/Gale","Gale","",""
"35P/Herschel–Rigollet","Herschel & Rigollet","155",""
"36P/Whipple","Whipple","8.55",""
"37P/Forbes","Forbes","6.35",""
"38P/Stephan–Oterma","Stephan & Oterma","37.72",""
"39P/Oterma","Oterma","19.53",""
"40P/Väisälä (Väisälä 1)","Väisälä","10.82",""
"41P/Tuttle–Giacobini–Kresák","Tuttle & Giacobini & Kresák","5.42",""
"42P/Neujmin (Neujmin 3)","Neujmin","10.70",""
"43P/Wolf–Harrington","Wolf & Harrington","6.13",""
"44P/Reinmuth (Reinmuth 2)","Reinmuth","7.08",""
"45P/Honda–Mrkos–Pajdušáková","Honda & Mrkos & Pajdušáková","5.26",""
"46P/Wirtanen","Wirtanen","5.44","ICE (distant flyby 2018 – proposed), CHopper (lander 2022—proposed)"
"47P/Ashbrook–Jackson","Ashbrook & Jackson","8.35",""
"48P/Johnson","Johnson","6.95",""
"49P/Arend–Rigaux","Arend & Rigaux","6.73",""
"50P/Arend","Arend","8.25",""
"51P/Harrington","Harrington","7.13",""
"52P/Harrington–Abell","Harrington & Abell","7.54",""
"53P/Van Biesbroeck","Van Biesbroeck","12.6",""
"54P/de Vico–Swift–NEAT","de Vico & Swift & NEAT","7.38",""
"55P/Tempel–Tuttle","Tempel & Tuttle","33.24",""
"56P/Slaughter–Burnham","Slaughter & Burnham","11.54",""
"57P/du Toit–Neujmin–Delporte","du Toit & Neujmin & Delporte","6.40",""
"58P/Jackson–Neujmin","Jackson & Neujmin","8.24",""
"59P/Kearns–Kwee","Kearns & Kwee","9.51",""
"60P/Tsuchinshan (Tsuchinshan 2)","Tsuchinshan","6.56",""
"61P/Shajn–Schaldach","Shajn & Schaldach","7.06",""
"62P/Tsuchinshan (Tsuchinshan 1)","Tsuchinshan","6.63",""
"63P/Wild (Wild 1)","Wild","13.25",""
"64P/Swift–Gehrels","Swift & Gehrels","9.35",""
"65P/Gunn","Gunn","6.88",""
"66P/du Toit","du Toit","14.71",""
"67P/Churyumov–Gerasimenko","Churyumov & Gerasimenko","6.45","Rosetta (orbiter 2014)"
"68P/Klemola","Klemola","10.83",""
"69P/Taylor","Taylor","7.65",""
"70P/Kojima","Kojima","7.06",""
"71P/Clark","Clark","5.53",""
"72D/Denning–Fujikawa","Denning & Fujikawa","",""
"73P/Schwassmann–Wachmann (Schwassmann–Wachmann 3)","Schwassmann & Wachmann","5.36",""
"74P/Smirnova–Chernykh","Smirnova & Chernykh","8.51",""
"75D/Kohoutek","Kohoutek","~7",""
"76P/West–Kohoutek–Ikemura","West & Kohoutek & Ikemura","6.48",""
"77P/Longmore","Longmore","6.88",""
"78P/Gehrels (Gehrels 2)","Gehrels","7.22",""
"79P/du Toit–Hartley","du Toit & Hartley","5.28",""
"80P/Peters–Hartley","Peters & Hartley","8.12",""
"81P/Wild (Wild 2)","Wild","6.41","Stardust (flyby/sample return 2004)"
"82P/Gehrels (Gehrels 3)","Gehrels","8.43",""
"83D/Russell (Russell 1)","Russell","",""
"84P/Giclas","Giclas","6.97",""
