Pos	No	Driver	Constructor	Lap	Gap
1	98	Walt Faulkner	Kurtis Kraft-Offenhauser	4:27.97	–
2	28	Fred Agabashian	Kurtis Kraft-Offenhauser	4:31.10	+ 3.13
3	31	Mauri Rose	Deidt-Offenhauser	4:32.07	+ 4.10
4	5	George Connor	Lesovsky-Offenhauser	4:32.39	+ 4.42
5	1	Johnnie Parsons	Kurtis Kraft-Offenhauser	4:32.43	+ 4.46
6	49	Jack McGrath	Kurtis Kraft-Offenhauser	4:33.00	+ 5.03
7	69	Duke Dinsmore	Kurtis Kraft-Offenhauser	4:34.67	+ 6.70
8	14	Tony Bettenhausen	Deidt-Offenhauser	4:34.92	+ 6.95
9	17	Joie Chitwood	Kurtis Kraft-Offenhauser	4:35.32	+ 7.35
10	3	Bill Holland	Deidt-Offenhauser	4:35.90	+ 7.93
11	59	Pat Flaherty	Kurtis Kraft-Offenhauser	4:37.76	+ 9.79
12	54	Cecil Green	Kurtis Kraft-Offenhauser	4:30.86	+ 2.89
13	18	Duane Carter	Stevens-Offenhauser	4:33.42	+ 5.45
14	21	Spider Webb	Maserati-Offenhauser	4:37.46	+ 9.49
15	81	Jerry Hoyt	Kurtis Kraft-Offenhauser	4:37.95	+ 9.98
16	2	Myron Fohr	Marchese-Offenhauser	4:33.32	+ 5.35
17	24	Bayliss Levrett	Adams-Offenhauser	4:34.43	+ 6.46
18	45	Dick Rathmann	Watson-Offenhauser	4:34.96	+ 6.99
19	7	Paul Russo	Nichels-Offenhauser	4:35.25	+ 7.28
20	4	Walt Brown	Kurtis Kraft-Offenhauser	4:35.96	+ 7.99
21	12	Henry Banks	Maserati-Offenhauser	4:37.68	+ 9.71
22	67	Bill Schindler	Snowberger-Offenhauser	4:31.31	+ 3.34
23	8	Lee Wallard	Moore-Offenhauser	4:31.83	+ 3.86
24	55	Troy Ruttman	Lesovsky-Offenhauser	4:32.91	+ 4.94
25	23	Sam Hanks	Kurtis Kraft-Offenhauser	4:33.57	+ 5.60
26	15	Mack Hellings	Kurtis Kraft-Offenhauser	4:35.32	+ 7.35
27	22	Jimmy Davies	Ewing-Offenhauser	4:36.07	+ 8.10
28	76	Jim Rathmann	Wetteroth-Offenhauser	4:37.01	+ 9.04
29	27	Walt Ader	Rae-Offenhauser	4:37.05	+ 9.08
30	77	Jackie Holmes	Olson-Offenhauser	4:37.57	+ 9.60
31	75	Gene Hartley	Langley-Offenhauser	4:38.61	+ 10.64
32	61	Jimmy Jackson	Kurtis Kraft-Cummins	4:38.62	+ 10.65
33	62	Johnny McDowell	Kurtis Kraft-Offenhauser	4:37.58	+ 9.61
