| Year | Local Radio Station | Local Radio Announcers                                   | Foreign Language Radio Station | Foreign Language Radio Announcers                    | Local Television Station | Local Television Announcers                        | Cable Television Station | Cable Television Announcers                                                           |
| 1939 | WHN                 | Red Barber Al Helfer                                     | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1940 | WHN                 | Red Barber Al Helfer                                     | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1941 | WHN                 | Red Barber Al Helfer                                     | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1942 | WHN                 | Red Barber Alan Hale                                     | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1943 | WHN                 | Red Barber Connie Desmond                                | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1944 | WHN                 | Red Barber Connie Desmond                                | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1945 | WHN                 | Red Barber Connie Desmond                                | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1946 | WHN                 | Red Barber Connie Desmond                                | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1947 | WHN                 | Red Barber Connie Desmond                                | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1948 | WMGM                | Red Barber Connie Desmond Ernie Harwell                  | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1949 | WMGM                | Red Barber Connie Desmond Ernie Harwell                  | None                           | None                                                 | None                     | None                                               | None                     | None                                                                                  |
| 1950 | WMGM                | Red Barber Connie Desmond Vin Scully                     | None                           | None                                                 | WOR-TV                   | Red Barber Connie Desmond Vin Scully               | None                     | None                                                                                  |
| 1951 | WMGM                | Red Barber Connie Desmond Vin Scully                     | None                           | None                                                 | WOR-TV                   | Red Barber Connie Desmond Vin Scully               | None                     | None                                                                                  |
| 1952 | WMGM                | Red Barber Connie Desmond Vin Scully                     | None                           | None                                                 | WOR-TV                   | Red Barber Connie Desmond Vin Scully               | None                     | None                                                                                  |
| 1953 | WMGM                | Red Barber Connie Desmond Vin Scully                     | WHOM                           | Buck Canel Herb Marine                               | WOR-TV                   | Red Barber Connie Desmond Vin Scully               | None                     | None                                                                                  |
| 1954 | WMGM                | Connie Desmond Vin Scully André Baruch                   | WHOM                           | Buck Canel Herb Marine                               | WOR-TV                   | Connie Desmond Vin Scully André Baruch             | None                     | None                                                                                  |
| 1955 | WMGM                | Connie Desmond Vin Scully André Baruch Al Helfer         | WHOM                           | Buck Canel Herb Marine                               | WOR-TV                   | Connie Desmond Vin Scully André Baruch Al Helfer   | None                     | None                                                                                  |
| 1956 | WMGM                | Connie Desmond Vin Scully Al Helfer                      | WHOM                           | Buck Canel Herb Marine                               | WOR-TV                   | Connie Desmond Vin Scully Al Helfer                | None                     | None                                                                                  |
| 1957 | WMGM                | Vin Scully Al Helfer Jerry Doggett                       | WHOM                           | Buck Canel Herb Marine                               | WOR-TV                   | Vin Scully Al Helfer Jerry Doggett                 | None                     | None                                                                                  |
| 1958 | KMPC                | Vin Scully Jerry Doggett                                 | KWKW                           | René Cárdenas Milt Nava                              | KTTV                     | Vin Scully Jerry Doggett                           | None                     | None                                                                                  |
| 1959 | KMPC                | Vin Scully Jerry Doggett                                 | KWKW                           | Jaime Jarrín René Cárdenas Miguel Alonzo             | KTTV                     | Vin Scully Jerry Doggett                           | None                     | None                                                                                  |
| 1960 | KFI                 | Vin Scully Jerry Doggett                                 | KWKW                           | Jaime Jarrín René Cárdenas Miguel Alonzo             | KTTV                     | Vin Scully Jerry Doggett                           | None                     | None                                                                                  |
