url1,q1,a1,url2,q2,a2,url3,q3,a3,url4,q4,a4,url5,q5,a5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how od was alberto ginastera when he died?,67,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,tell me the number of french people on the list.,11,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how many pianists completed at least two notable works?,16,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,were there more than 4 american composers listed?,yes,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how long was soulima stravinsky alive?,84 years
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how many composers died before 1960?,46,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how many english composers are on this list?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how many notable works were by constant lambert?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,who is the only lithuanian composer on this list?,Mikalojus Konstantinas Čiurlionis,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,name someone who lived more than 80 years.,Malcolm Arnold
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-748.html,how many were born after 1873?,51,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,did we score more in the plymouth argyle game or in the reading game?,Reading,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,what is the most we scored in a single game?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,when was the first game played.,7 August 2004,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,what was the date of the game played before august 10 2004.,7 August 2004
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,how many games were not played in venue h?,23,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,how many people attended the game in november against sunderland?,"10,513",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,"where did they play after the april 5, 2005 game in reading?",Crewe Alexandra,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,who was the opponent that has the most attendance.,Leeds United,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,"which game had more in attendance, cardiff city or reading?",Reading
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,how many games occurred in the month of october?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-318.html,how many games were played before november?,14,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,which month averages the least precipitation in kindersley?,Feb,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,which month had 15.6 inches in rainfall and also 9.5 inches in snowfall?,Apr,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,which month had the most rainfall?,June
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,which month is the best for someone who enjoys the rain?,June,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,how many months experienced a daily mean temperature above 10 degrees fahrenheit?,11,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,does kindersley average more snowfall in the month before or after february?,Before,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,which month had 12.9 as their record high temperature and a negative average high in temperature?,Dec,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-33.html,what is the month with the most precipitation (on average)in kindersley?,Jun
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,"who performed better, toshida or young-sun?",Lee Young-Sun,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,what country ranks before china?,Uzbekistan,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,which nationality had no result above 40?,Pakistan,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,what is the last nationality on the list?,Pakistan,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,how many competitors were from north and south korea combined?,3
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,who scored more than liliya dusmetova but less than lee young-sun?,Anne De Silva,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,"which person medaled, but was not from south korea?",Anne De Silva,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,how many names are there?,11,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,who had the next best time after dusmetova.,Zhang Li,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,who is at the top?,Park Ho-Hyun
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,who finished directly before lakmali?,Emika Yoshida,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,what is the total number of names from nationalities from either korea?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,how many nationalities are there after rank 5?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,what nationality had the most results below 53?,Japan,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-174.html,how many athletes were from japan?,2
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,which was the only album to be released by b'in music in an even-numbered year?,Kissing The Future of Love,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,"which album was released later, beautiful, or j'adore?",j'Adore,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,which song is listed first in the table?,Grown Up Overnight,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,what label was she working with before universal music?,B'in Music,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,was the album beautiful released before the album love in heart?,Yes
