url1,q1,a1,url2,q2,a2,url3,q3,a3,url4,q4,a4,url5,q5,a5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-876.html,how many years did james ii rule in all (first and second rule)?,26,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,what is the average score of all home team members for all dates?,1.75,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,on which date did the home team member not score?,4 March 2008,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,how many ties are listed total?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,which team has the same score as rah ahan?,Steel Azin
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,which team had the most progress on penalties?,Foolad,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,at most 8 were scored on what date,17 December 2007,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,on what date did the home team score zero points against their opponent?,4 March 2008,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,which team's score was better than sanaye arak?,Pegah Gilan,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,what is the total number of points earned by all away team members in december?,9
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,each of these teams both scored 4 goals,Foolad|Esteghlal Ahvaz,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-24.html,zob ahan or esteghlal had the most poinrs,Esteghlal,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,which is the least successful film?,The Train,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,how many movies did 20th century fox create that were in the top 10 grossing films of 1965?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,how many films were made by 20th century fox studios?,5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,"which movie starring burt lancaster, paul scofield, jeanne moreau and michel simon was also produced by united artists?",The Train,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,how many films have united artists as their studio?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,which film was the best in terms of profit for walt disney productions?,That Darn Cat!,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,which 1965 film starred actors elizabeth taylor and richard burton?,The Sandpiper,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,how many times is 20th century fox on the top grossing films (u.s.) list?,5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,who starred in the 1965 film how to murder your wife?,Jack Lemmon,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,who is the most high-grossing director of 1965?,Robert Wise,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,which actress starred in the highest grossing film of 1965?,Julie Andrews,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,what film is the most grossing film?,The Sound of Music,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/201-19.html,which film had the best rank?,The Sound of Music
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,is the are of saint helena more than that of nightingale island?,yes,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,what is the difference in population between ascension island and gough island?,1526,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,how many administrative areas have a population below 500?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,how many times is edinburgh of the seven seas on the list?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,how many administrative areas have a population of at least 500?,2
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,what administrative area comes before nightingale island?,Inaccessible Island,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,which administrative area has the least square mileage and lowest population?,Nightingale Island,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,how many administrative centre is there?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,what is the total of the first population?,"5,809",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,what is the difference between the area with the highest population and the lowest population?,5809
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,which administrative area has the lowest population that is not zero?,Gough Island,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-332.html,"other than saint helena, name an area with more than 100 sq km.",Tristan da Cunha,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,what was the number of events she took place in?,22,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,how many first place victories did the runner have?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,how long did this runner compete in years?,12
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,"other than the 1996 world junior championships, name a competition held in australia.",2000 Olympic Games,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,name a year he placed at least 2nd in two competitions.,1999,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,how many total events did she take place in?,22,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,before the 2000 olympic games what was johanna's fastest 200m time?,23.26,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-298.html,how many times did the runner finish below 10th place?,22
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,what were the total number of legs won by ronnie baxter?,54,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,how many players have a 3 dart average of more than 97?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,which player lost the least?,Co Stompé|Andy Smith|Jelle Klaasen|Wes Newton|Michael van Gerwen|Andy Hamilton|Wayne Jones|Peter Wright|Colin Osborne|Dennis Priestley|Robert Thornton|Mark Dudbridge|Jamie Caven|John Part|Tony Eccles|Andy Jenkins,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,mark walsh's average is above/below 93?,Below,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,what are the number of legs lost by james wade?,26
