"Player","Matches","Innings","Not Out","Runs","High Score","Average","Strike Rate","100s","50s"
"Anthony McGrath","9","9","2","392","72*","56.00","132.43","0","4"
"Jacques Rudolph","9","8","1","191","56","27.29","129.05","0","1"
"Darren Gough","9","4","3","26","20*","26.00","136.84","0","0"
"Gerard Brophy","9","9","1","177","57*","22.13","113.46","0","1"
"Andrew Gale","9","9","2","106","45","15.14","86.18","0","0"
"Michael Vaughan","7","7","0","104","34","14.86","138.67","0","0"
"Craig White","2","2","0","26","26","13.00","92.86","0","0"
"Tim Bresnan","9","8","3","58","15","11.60","85.29","0","0"
"Chris Taylor","2","2","1","10","10*","10.00","111.11","0","0"
"Simon Guy","4","2","0","11","7","5.50","78.57","0","0"
"Richard Pyrah","9","5","2","16","8","5.33","114.29","0","0"
"Adil Rashid","8","6","2","18","10","4.50","94.74","0","0"
"Adam Lyth","1","1","0","0","0","0.00","0.00","0","0"
"David Wainwright","2","1","1","3","3*","N/A","33.33","0","0"
"Matthew Hoggard","9","0","0","0","0","N/A","N/A","0","0"
"Azeem Rafiq","1","0","0","0","0","N/A","N/A","0","0"
"Total Batting","99","73","18","1138","72*","20.69","116.00","0","6"
