"Naturalisations by origin","2000","2005","2009","% Total 2009"
"Africa","84 182","98 453","85 144","62.7"
"Maghreb","68 185","75 224","56 024","41.2"
"Sub-Saharan Africa","10 622","15 624","22 214","16.4"
"Other Africa","5 375","7 605","6 906","5.1"
"Asia","27 941","26 286","19 494","14.4"
"South-East Asia","7 265","4 069","2 475","1.8"
"East Asia","1 139","1 280","1 622","1.2"
"South Asia","4 246","4 436","3 660","2.7"
"Other Asia","15 291","16 501","11 737","8.6"
"Europe (not including CIS )","22 085","18 072","14 753","10.9"
"CIS","1 181","2 108","4 704","3.5"
"CIS (Europe)","1 000","1 535","4 454","3.3"
"CIS (Asia)","181","573","250","0.2"
"America","5 668","6 352","6 677","4.9"
"North America","1 048","854","747","0.5"
"South and Central America","4 620","5 498","5 930","4.4"
"Oceania","87","127","108","0.1"
"Others","8 882","3 245","4 962","3.7"
"Total","150 026","154 643","135 842","100"
