"","Name on the Register","Date listed","Location","City or town","Summary"
"1","Arnold Trail to Quebec","October 1, 1969
(#69000018)","Along the Kennebec River, through Wayman and Flagstaff lakes along the Dead River and Chain of Ponds to Quebec
44°40′49″N 69°59′18″W﻿ / ﻿44.680278°N 69.988333°W","Coburn Gore","Extends through Franklin, Kennebec, Sagadahoc, and Somerset counties"
"2","Barn on Lot 8, Range G","August 24, 2011
(#11000581)","816 Foster Hill Rd.
44°51′29″N 70°13′20″W﻿ / ﻿44.858056°N 70.222222°W","Freeman Township",""
"3","Bass Boarding House","April 7, 1988
(#88000396)","Canal St.
44°35′12″N 70°13′58″W﻿ / ﻿44.586667°N 70.232778°W","Wilton",""
"4","Ora Blanchard House","January 15, 1980
(#80000215)","Main St.
45°08′32″N 70°26′42″W﻿ / ﻿45.142222°N 70.445°W","Stratton",""
"5","John G. Coburn","April 11, 2002
(#02000347)","360 River Rd.
44°37′36″N 70°28′36″W﻿ / ﻿44.626667°N 70.476667°W","Carthage","Perhaps the \"John G. Coburn House\"?"
"6","Coplin Plantation Schoolhouse","September 11, 1997
(#97001132)","State Route 16 approximately 4.5 miles southwest of its junction with State Route 27
45°05′32″N 70°29′55″W﻿ / ﻿45.092222°N 70.498611°W","Coplin Plantation",""
"7","Cutler Memorial Library","November 2, 1973
(#73000104)","Academy and High Sts.
44°40′09″N 70°08′55″W﻿ / ﻿44.669167°N 70.148611°W","Farmington",""
"8","Farmington Historic District","January 20, 1995
(#94001551)","Roughly bounded by High, Academy, Anson, and Grove Sts.
44°40′14″N 70°08′58″W﻿ / ﻿44.670556°N 70.149444°W","Farmington","Boundary decrease (listed 4/27/2010)"
"9","First Congregational Church, United Church of Christ","July 25, 1974
(#74000149)","Main St.
44°40′04″N 70°09′00″W﻿ / ﻿44.667778°N 70.15°W","Farmington",""
"10","Franklin County Courthouse","October 6, 1983
(#83003641)","Main and Anson Sts.
44°40′17″N 70°09′08″W﻿ / ﻿44.671389°N 70.152222°W","Farmington",""
"11","Free Will Baptist Meetinghouse","August 28, 1973
(#73000264)","Main St.
44°40′08″N 70°09′03″W﻿ / ﻿44.668889°N 70.150833°W","Farmington",""
"12","Goodspeed Memorial Library","January 5, 1989
(#88003019)","104 Main St.
44°35′16″N 70°13′51″W﻿ / ﻿44.587778°N 70.230833°W","Wilton",""
"13","Greenacre","October 29, 1982
(#82000422)","17 Court St.
44°40′24″N 70°08′53″W﻿ / ﻿44.673333°N 70.148056°W","Farmington",""
"14","Chester Greenwood House","July 12, 1978
(#78000160)","State Route 27
44°39′39″N 70°08′52″W﻿ / ﻿44.660833°N 70.147778°W","Farmington",""
"15","Holmes-Crafts Homestead","April 26, 1973
(#73000105)","Old N. Jay Rd. on State Route 4
44°31′08″N 70°13′28″W﻿ / ﻿44.518889°N 70.224444°W","North Jay",""
"16","Frank Hutchins House","December 29, 1986
(#86003532)","High St.
44°57′05″N 70°09′54″W﻿ / ﻿44.951389°N 70.165°W","Kingfield",""
"17","Jay-Niles Memorial Library","March 13, 1987
(#87000414)","State Route 4
44°32′53″N 70°14′17″W﻿ / ﻿44.548056°N 70.238056°W","North Jay",""
"18","Little Red Schoolhouse","February 23, 1972
(#72000070)","South of West Farmington on Wilton Rd.
44°37′52″N 70°09′16″W﻿ / ﻿44.631111°N 70.154444°W","West Farmington",""
"19","Madrid Village Schoolhouse","December 14, 1995
(#95001460)","Western side of Reeds Mills Rd., 0.05 miles north of its junction with State Route 4
44°51′53″N 70°27′45″W﻿ / ﻿44.864722°N 70.4625°W","Madrid",""
"20","Maine Woods Office","November 10, 1980
(#80000216)","Main St.
44°49′27″N 70°20′55″W﻿ / ﻿44.824167°N 70.348611°W","Phillips",""
"21","McCleary Farm","April 7, 1989
(#89000253)","S. Strong Rd.
44°45′50″N 70°12′34″W﻿ / ﻿44.763889°N 70.209444°W","Strong",""
"22","Merrill Hall","January 23, 1980
(#80000217)","Maine and Academy Sts.
44°40′09″N 70°08′58″W﻿ / ﻿44.669167°N 70.149444°W","Farmington",""
"23","New Sharon Bridge","September 24, 1999
(#99001189)","South of U.S. Route 2 over the Sandy River
44°38′16″N 70°00′56″W﻿ / ﻿44.637778°N 70.015556°W","New Sharon","To be demolished"
"24","New Sharon Congregational Church","June 20, 1985
(#85001261)","State Route 134
44°38′10″N 70°00′50″W﻿ / ﻿44.636111°N 70.013889°W","New Sharon",""
"25","Nordica Homestead","December 23, 1969
(#69000006)","North of Farmington on Holly Rd. off State Route 27
44°41′42″N 70°08′43″W﻿ / ﻿44.695°N 70.145278°W","Farmington",""
"26","North Jay Grange Store","October 23, 1974
(#74000150)","State Route 17
44°33′15″N 70°14′09″W﻿ / ﻿44.554167°N 70.235833°W","North Jay",""
"27","William F. Norton House","July 8, 1982
(#82000741)","1 Stanley Ave.
44°57′39″N 70°09′06″W﻿ / ﻿44.960833°N 70.151667°W","Kingfield",""
"28","Old Union Meetinghouse","October 30, 1973
(#73000106)","U.S. Route 2
44°37′26″N 70°04′40″W﻿ / ﻿44.623889°N 70.077778°W","Farmington",""
"29","Oquossoc Log Church","July 19, 1984
(#84001368)","State Route 4
44°58′00″N 70°46′14″W﻿ / ﻿44.966667°N 70.770556°W","Rangeley",""
"30","Orgone Energy Observatory","January 29, 1999
(#98001602)","Western side of Dodge Pond Rd., 0.65 miles north of the junction of State Routes 4/16
44°58′54″N 70°43′05″W﻿ / ﻿44.981667°N 70.718056°W","Rangeley",""
"31","Porter-Bell-Brackley Estate","November 10, 1980
(#80000218)","Lower Main St.
44°48′16″N 70°13′14″W﻿ / ﻿44.804444°N 70.220556°W","Strong",""
"32","Hiram Ramsdell House","December 4, 1973
(#73000107)","High and Perham Sts.
44°40′17″N 70°08′59″W﻿ / ﻿44.671389°N 70.149722°W","Farmington",""
"33","Rangeley Trust Company Building","July 13, 1989
(#89000846)","Main St.
44°57′50″N 70°38′32″W﻿ / ﻿44.963889°N 70.642222°W","Rangeley",""
"34","Rangeley Public Library","July 12, 1978
(#78000161)","Lake St.
44°57′53″N 70°38′38″W﻿ / ﻿44.964722°N 70.643889°W","Rangeley",""
"35","Salem Town House (Former)","August 5, 2005
(#05000795)","State Route 142
44°54′05″N 70°16′35″W﻿ / ﻿44.901389°N 70.276389°W","Salem",""
