"Name","Type","Circle","Bench","Formed","Notes"
"Überlingen","Imperial City","Swab","SW","1268","1803: Mediatized to Baden"
"Ulm","1155: Free Imperial City","Swab","SW","1115","1803: Mediatized to Bavaria
1809: To Wurttemberg"
"Umpfenbach","Lordship
1805: HRE Princely County","","","","To Trauttmansdorff"
"Unterwalden","Imperial valley","","","1415","Division into Nidwalden and Obwalden
1173: To Counts of Habsburg
1291: Nidwalden became a founding member of the Swiss League
1324: Immediate Imperial fief (Reichsunmittelbar)
1350s: Division into Obwalden and Nidwalden
1648: Left Empire as member of Swiss Confederation"
"Upper Salm","1163: County","","","1170","Partitioned from Salm
1499: Raised to Wild- and Rhinegraves of Salm
1574: Divided into Salm-Salm and Salm-Grumbach"
"Upper Bavaria (Oberbayern)","Duchy","","","1255",""
"Upper Schönburg","County","Upp Sax","","1569","Partitioned from Schönburg
1800: Partitioned into Schönburg-Hartenstein and Schönburg-Waldenburg"
"Urach","County","","","","1060: 1st mention of Urach
1080: 1st use of \"Count of Urach\"
Division of territory into Achalm and Urach
1218 Egino I of Urach inherited County of Freiburg from Zahringen
1261: Counts of Urach died out
1251-1265: Ulrich I of Wurttemberg acquired territories of Counts of Urach"
"Uri","Imperial valley","","","1231","Split off from Habsburg
1648: Left Empire as member of Swiss Confederation"
"Ursberg","1143: HRE Abbey","Swab","","","1803; Secularized"
"Utrecht","Bishopric","Burg","EC","1024","1512: Burgundian Circle
1528: Secularized to Austria
1793: Council of Princes"
"Uznach","County","","","",""
