Boat	Time	Crew	Nation	Date	Meet	Location
M1x\nSingle sculls	6:33.35	Mahé Drysdale	New Zealand	2009		Poznań, Poland
M2-\nCoxless pairs	6:08.50	Hamish Bond\nEric Murray	New Zealand	2012	Summer Olympics	Eton Dorney, England
M2+\nCoxed pairs	6:42.16	Igor Boraska\nTihomir Franković\nMilan Razov (coxswain)	Croatia	1994		Indianapolis, United States
M2x\nDouble sculls	6:03.25	Adrien Hardy\nJean-Baptiste Macquet	France	2006		Poznań, Poland
M4-\nCoxless four	5:37.86	Andrew Triggs-Hodge\nTom James\nPete Reed\nAlex Gregory	Great Britain	2012		Lucerne, Switzerland
M4+\nCoxed four	5:58.96	Matthias Ungemach\nArmin Eichholz\nArmin Weyrauch\nBahne Rabe\nJoerg Dederding (coxswain)	Germany	1991		Vienna, Austria
M4x\nQuad sculls	5:33.15	Vladislav Ryabcev\nAlexey Svirin\nNikita Morgachev\nSergei Fedorovtsev	Russia	2012		Lucerne,Switzerland
M8+\nEight	5:19.35	Gabriel Bergen\nDouglas Csima\nRobert Gibson\nConlin McCabe\nMalcolm Howard\nAndrew Byrnes\nJeremiah Brown\nWill Crothers\nBrian Price (coxswain)	Canada	2012		Lucerne, Switzerland
LM1x\nLightweight single sculls	6:46.93	Jeremie Azou	France	2011		Amsterdam, Netherlands
LM2-\nLightweight coxless pairs	6:26.21	Tony O'Connor\nNeville Maxwell	Ireland	1994		Paris, France
LM2x\nLightweight double sculls	6:10.02	Mads Rasmussen\nRasmus Quist	Denmark	2007		Amsterdam, Netherlands
LM4-\nLightweight coxless four	5:45.60	Thomas Poulsen\nThomas Ebert\nEskild Ebbesen\nVictor Feddersen	Denmark	1999		Lucerne, Switzerland
LM4x\nLightweight quad sculls	5:45.18	Francesco Esposito\nMassimo Lana\nMichelangelo Crispi\nMassimo Guglielmi	Italy	1992		Montreal, Canada
LM8+\nLightweight eight	5:30.24	Klaus Altena\nChristian Dahlke\nThomas Melges\nBernhard Stomporowski\nMichael Kobor\nUwe Maerz\nMichael Buchheit\nKai von Warburg\nOlaf Kaska (coxswain)	Germany	1992		Montreal, Canada
