City/Municipality	City/Municipality	No. of\nBarangays	Area\n(hectares)	Population\n(2010)	Income Class\n(2010)	Mayor\n(2010–2013)
	Baao	30	10,663	54,971	3rd class	Melquiades I. Gaite
	Balatan	17	9,309	28,699	4th class	Ernesto A. Bagasbas
	Bato	33	10,712	48,306	3rd class	Jeanette R. Bernaldez
	Bombon	8	2,873	15,437	5th class	Ma. Luisa DC. Angeles
	Buhi	38	24,665	73,809	1st class	Rey P. Lacoste
	Bula	33	16,764	68,011	2nd class	Benjamin S. Decena
	Cabusao	9	4,680	18,049	5th class	Nebb P. Santiago
	Calabanga	48	16,380	78,119	1st class	Eduardo Severo
	Camaligan	13	468	22,254	5th class	Marilou Marquez-Hirose
	Canaman	24	4,327	32,390	4th class	Emmanuel S. Requejo
	Caramoan	49	27,600	44,945	2nd class	Constantino H. Cordial, Jr.
	Del Gallego	32	20,831	23,064	4th class	Lydia B. Abarientos
	Gainza	8	1,475	10,345	5th class	William Angeles Abilay
	Garchitorena	23	24,380	25,204	4th class	Solon O.Demetriou Jr.
	Goa	34	20,618	58,503	2nd class	Antero S. Lim
	Iriga City	36	13,735	105,919	4th class	Madeleine A. Gazmen
	Lagonoy	38	37,790	51,814	2nd class	Delfin R. Pilapil Jr.
	Libmanan	75	34,282	100,002	1st class	Marilyn A. Jimenez
	Lupi	38	19,912	30,118	3rd class	Raul M. Matamorosa
	Magarao	15	4,497	24,274	4th class	Salvador A. Senar Jr.
	Milaor	20	3,364	28,474	4th class	Rogelio A. Flores
	Minalabac	25	12,610	48,162	3rd class	Leovegildo D. Basmayor Jr.
	Nabua	42	9,620	80,111	1st class	Delia C. Simbulan
25px	Naga City	27	8,448	174,931	2nd class	John G. Bongat
	Ocampo	25	11,833	43,523	3rd class	Fidel C. Carido
	Pamplona	17	8,060	34,471	4th class	Gimeno A. Imperial
	Pasacao	19	14,954	45,946	3rd class	Asuncion V. Arsenio
	Pili	26	12,625	82,307	1st class	Tomas P. Bongalonta, Jr.
	Presentacion	18	14,380	20,023	4th class	Joey A. Deleña
	Ragay	38	40,022	54,934	1st class	Ricardo B. Aquino
	Sagñay	19	15,476	31,314	4th class	Evelyn B. Fuentebella
	San Fernando	22	7,176	33,281	4th class	Eugenio "jun" Lagasca, Jr.
	San Jose	29	4,307	38,523	4th class	Antonio B. Chavez
	Sipocot	46	24,343	64,042	1st class	Rogenor R. Astor
	Siruma	22	14,127	17,050	4th class	Sandy S. Ondis Sr.
	Tigaon	23	7,235	48,611	3rd class	Arnulf Bryan B. Fuentebella
	Tinambac	44	35,162	62,435	1st class	Ruel T. Velarde
