Name	Nationality	Matches played	Goals scored	Notes
Adama Traore	Cote d'Ivoire	22	0	First Ivorian to play for Melbourne
Adrian Caceres	Australia	42	6	
Adrian Leijer	Australia	142	6	Club captain - 2011–13
Alessandro Viana da Silva	Brazil	17	0	
Andrew Nabbout	Australia	21	4	
Andrew Vlahos	Australia	18	0	
Ante Čović	Australia	24	0	
Antun Kovacic	Australia	2	0	
Archie Thompson	Australia	160	69	Melbourne's first ever signing\nFirst dual-nationality signing\nScored Melbourne's first ever goal\nScored Melbourne's first ever away goal
Aziz Behich	Australia	5	0	First player to switch from Melbourne to Heart
Billy Celeski	Australia	91	2	
Carl Recchia	Australia	12	0	
Carlos Hernández	Costa Rica	121	36	First Costa Rican to play for Melbourne
Christopher Cristaldo	Australia	3	1	
Chris Tadrosse	Australia	8	0	
Claudinho	Brazil	5	1	
Connor Pain	Australia	11	1	
Daniel Mullen	Australia	9	0	
Daniel Piorkowski	Australia	30	0	
Daniel Vasilevski	Australia	12	0	
Danny Allsopp	Australia	118	42	
Diogo Ferreira	Australia	52	2	
Dylan Murnane	Australia	2	0	
Eugene Galeković	Australia	15	0	
Evan Berger	Australia	43	0	
Fábio Alves	Brazil	23	1	
Francesco Stella	Australia	7	0	
Fred Carreiro	Brazil	20	4	First Brazilian to play for Melbourne
Geoff Kellaway	Wales	9	0	First Welsh to play for Melbourne
Geoffrey Claeys	Belgium	16	0	First Belgian to play for Melbourne
Glen Moss	New Zealand	14	0	First New Zealander to play for Melbourne
Grant Brebner	Scotland	119	6	First Scot to play for Melbourne
Guilherme Finkler	Brazil	12	0	
Harry Kewell	Australia	25	8	
Isaka Cernak	Australia	21	2	
James Jeggo	Australia	19	1	
James Robinson	England	7	1	First Englishman to play for Melbourne
James Troisi	Australia	0	0	
Jason Geria	Australia	4	0	
Jean Carlos Solórzano	Costa Rica	13	0	
Jesse Makarounas	Australia	3	0	
Jonathan Bru	Mauritius	19	0	First Mauritian to play for Melbourne
José Luis López Ramírez	Costa Rica	18	0	
Joe Keenan	England	12	0	
Julius Davies	Sierra Leone	2	0	
Kaz Patafta	Australia	14	1	
Kevin Muscat	Australia	122	28	Club captain 2005–11\nFirst player to become head coach of Melbourne
Kosta Barbarouses	New Zealand	0	0	
Kristian Sarkies	Australia	35	3	
Lawrence Thomas	Australia	4	0	
Leandro Love	Brazil	15	0	
Leigh Broxham	Australia	128	2	
Ljubo Miličević	Australia	2	0	
Lupce Acevski	Australia	0	0	
Luke O'Dea	Australia	2	0	
Luke Pilkington	Australia	3	0	Football Superstar winner
Marco Rojas	New Zealand	50	15	
Marcos Flores	Argentina	24	4	First Argentine to play for Melbourne
Mark Byrnes	Australia	19	1	
Mark Milligan	Australia	32	10	Club captain 2013-
Marvin Angulo	Costa Rica	36	0	
Mate Dugandžić	Australia	37	7	
Matthew Foschini	Australia	42	0	First player to progress from Melbourne Victory youth (U21 Squad)
Matthew Kemp	Australia	79	2	
Matthew Špiranović	Australia	1	0	
Michael Ferrante	Australia	26	1	
Michael Petkovic	Australia	31	0	
Michael Theo	Australia	71	0	
Michael Thwaite	Australia	16	0	
Mitchell Langerak	Australia	21	0	
Mitch Nichols	Australia	0	0	
Nathan Coe	Australia	26	0	
Nathan Elasi	Australia	7	0	
Ney Fabiano	Brazil	30	6	
Nick Ansell	Australia	8	0	
Nick Ward	Australia	46	5	
Nik Mrdja	Australia	3	1	
Pablo Contreras	Chile	0	0	First Chilean to play for Melbourne
Petar Franjic	Australia	31	0	
Ramazan Tavşancıoğlu	Australia	4	0	
Rashid Mahazi	Australia	0	0	
Ricardo Weslei de Campelo	Brazil	19	2	
Richard Kitzbichler	Austria	18	5	First Austrian to play for Melbourne\nScored Melbourne's first home goal
Ricky Diaco	Australia	13	1	
Robbie Kruse	Australia	39	16	
Rodrigo Vargas	Australia	139	7	
Sam Gallagher	Australia	2	0	
Scott Galloway	Australia	11	0	
Sebastian Ryall	Australia	24	0	
Simon Storey	Australia	32	0	
Spase Dilevski	Australia	14	1	
Steve Pantelidis	Australia	53	0	
Steven Pace	Australia	8	0	
Surat Sukha	Thailand	36	0	First Thai to play for Melbourne
Sutee Suksomkit	Thailand	9	0	
Tando Velaphi	Australia	3	0	
Theo Markelis	Australia	5	0	
Tom Pondeljak	Australia	78	7	
Tommi Tomich	Australia	0	0	
Ubay Luzardo	Spain	7	0	First Spaniard to play for Melbourne
Vince Lia	Australia	24	0	
