Painter	Composition	Drawing	Color	Expression
Andrea del Sarto	12	16	9	8
Federico Barocci	14	15	6	10
Jacopo Bassano	6	8	17	0
Giovanni Bellini	4	6	14	O
Sebastian Bourdon	10	8	8	4
Charles Le Brun	16	16	8	16
I Carracci	15	17	13	13
Cavalier D'Arpino	10	10	6	2
Correggio	13	13	15	12
Daniele da Volterra	12	15	5	8
Abraham van Diepenbeeck	11	10	14	6
Il Domenichino	15	17	9	17
Albrecht Dürer	8	10	10	8
Giorgione	8	9	18	4
Giovanni da Udine	10	8	16	3
Giulio Romano	15	16	4	14
Guercino	18	10	10	4
Guido Reni	x	13	9	12
Holbein	9	10	16	3
Jacob Jordaens	10	8	16	6
Lucas Jordaens	13	12	9	6
Giovanni Lanfranco	14	13	10	5
Leonardo da Vinci	15	16	4	14
Lucas van Leyden	8	6	6	4
Michelangelo	8	17	4	8
Caravaggio	6	6	16	O
Murillo	6	8	15	4
Otho Venius	13	14	10	10
Palma il Vecchio	5	6	16	0
Palma il Giovane	12	9	14	6
Il Parmigianino	10	15	6	6
Gianfrancesco Penni	O	15	8	0
Perin del Vaga	15	16	7	6
Sebastiano del Piombo	8	13	16	7
Primaticcio	15	14	7	10
Raphael	17	18	12	18
Rembrandt	15	6	17	12
Rubens	18	13	17	17
Francesco Salviati	13	15	8	8
Eustache Le Sueur	15	15	4	15
Teniers	15	12	13	6
Pietro Testa	11	15	0	6
Tintoretto	15	14	16	4
Titian	12	15	18	6
Van Dyck	15	10	17	13
Vanius	15	15	12	13
Veronese	15	10	16	3
Taddeo Zuccari	13	14	10	9
Federico Zuccari	10	10	8	8
