"Year","Competition","Venue","Position","Notes"
"2002","Asian Junior Championships","Bangkok, Thailand","3rd","1.76 m"
"2004","Asian Junior Championships","Ipoh, Malaysia","1st","1.84 m"
"2004","World Junior Championships","Grosseto, Italy","7th","1.84 m"
"2005","Universiade","Izmir, Turkey","7th","1.80 m"
"2005","Asian Championships","Incheon, South Korea","3rd","1.84 m"
"2005","Asian Indoor Games","Bangkok, Thailand","2nd","1.84 m"
"2006","Asian Games","Doha, Qatar","6th","1.84 m"
"2007","Asian Championships","Amman, Jordan","3rd","1.91 m"
"2007","Universiade","Bangkok, Thailand","3rd","1.90 m"
"2007","World Championships","Osaka, Japan","20th (q)","1.88 m"
"2007","Asian Indoor Games","Macau","3rd","1.88 m"
"2008","Asian Indoor Championships","Doha, Qatar","2nd","1.91 m"
"2009","Universiade","Belgrade, Serbia","14th (q)","1.80 m"
"2010","Asian Indoor Championships","Tehran, Iran","2nd","1.86 m"
"2010","World Indoor Championships","Istanbul, Turkey","20th (q)","1.81 m"
"2010","Asian Games","Guangzhou, China","3rd","1.90 m"
"2011","Asian Championships","Kobe, Japan","4th","1.85 m"
"2011","Universiade","Shenzhen, China","10th","1.84 m"
