"Year","Competition","Venue","Position","Notes"
"1999","World Youth Championships","Bydgoszcz, Poland","12th",""
"2000","World Junior Championships","Santiago, Chile","5th",""
"2001","European Junior Championships","Grosseto, Italy","2nd","61.97 m"
"2001","World Championships","Edmonton, Canada","23rd","61.26 m"
"2002","World Junior Championships","Kingston, Jamaica","2nd","63.91 m"
"2002","European Championships","Munich, Germany","26th","60.28 m"
"2006","European Championships","Gothenburg, Sweden","26th","62.39 m"
"2007","World Student Games","Bangkok, Thailand","5th","64.95 m"
"2007","World Championships","Osaka, Japan","13th","68.15 m"
"2008","Olympic Games","Beijing, PR China","8th","71.00 m"
"2008","World Athletics Final","Stuttgart, Germany","2nd","71.40 m"
"2009","World Student Games","Belgrade, Serbia","2nd","72.85 m"
"2009","World Championships","Berlin, Germany","3rd","74.79 m"
"2009","World Athletics Final","Thessaloniki, Greece","3rd","70.45 m"
"2012","European Championships","Helsinki, Finland","2nd","73.34 m"
