"Association","Joining year","Men's team","Women's team","League"
"China PR","2002","China","China","Chinese Super League"
"Guam","2002","Guam","Guam","Guam League"
"Hong Kong","2002","Hong Kong","Hong Kong","Hong Kong First Division League"
"Japan","2002","Japan","Japan","J. League"
"Korea DPR","2002","Korea DPR","Korea DPR","DPR Korea League"
"Korea Republic","2002","Korea Republic","Korea Republic","K-League"
"Macau","2002","Macau","Macau","Campeonato da 1ª Divisão do Futebol"
"Mongolia","2002","Mongolia","Mongolia","Mongolia Premier League"
"Northern Mariana Islands","2008 1","Northern Mariana Islands","Northern Mariana Islands","Northern Mariana Championship"
"Chinese Taipei","2002","Chinese Taipei","Chinese Taipei","Intercity Football League"
