"State","No. of candidates","No. of elected","Total no. of seats in Assembly","Year of Election"
"Andhra Pradesh","12","6","294","2004"
"Assam","19","1","126","2001"
"Bihar","153","5","324","2000"
"Chhattisgarh","18","0","90","2003"
"Delhi","2","0","70","2003"
"Goa","3","0","40","2002"
"Gujarat","1","0","181","2002"
"Haryana","10","0","90","2000"
"Himachal Pradesh","7","0","68","2003"
"Jammu and Kashmir","5","0","87","2002"
"Karnataka","5","0","224","2004"
"Kerala","22","17","140","2006"
"Madhya Pradesh","17","0","230","2003"
"Maharashtra","19","0","288","1999"
"Manipur","16","4","60","2006"
"Meghalaya","3","0","60","2003"
"Mizoram","4","0","40","2003"
"Odisha","6","1","147","2004"
"Puducherry","2","0","30","2001"
"Punjab","11","0","117","2006"
"Rajasthan","15","0","200","2003"
"Tamil Nadu","8","6","234","2006"
"Tripura","2","1","60","2003"
"Uttar Pradesh","5","0","402","2002"
"Uttarakhand","14","0","70","2002"
"West Bengal","13","8","294","2006"
