"Year","Competition","Venue","Position","Notes"
"2002","World Junior Championships","Kingston, Jamaica","1st","64.51 m (1.75 kg)"
"2002","Asian Games","Busan, South Korea","1st","60.76 m"
"2003","Universiade","Daegu, South Korea","1st","62.32 m"
"2003","Asian Championships","Manila, Philippines","1st","61.43 m"
"2004","Olympic Games","Athens, Greece","18th (q)","60.60 m"
"2005","World Championships","Helsinki, Finland","18th (q)","61.75 m"
"2005","Universiade","Izmir, Turkey","7th","59.67 m"
"2005","East Asian Games","Macau","1st","61.74 m"
"2006","Asian Games","Doha, Qatar","5th","58.54 m"
"2009","Asian Championships","Guangzhou, China","3rd","59.27 m"
