Round	Pick	Player	Pos.	Nationality	Team	ABA team	Signing price
1	1	Artis Gilmore^	C	United States	Chicago Bulls	Kentucky Colonels	$ 1,100,000
1	2	Maurice Lucas*	F/C	United States	Portland Trail Blazers (from Atlanta)	Kentucky Colonels	$ 300,000
1	3	Ron Boone	G/F	United States	Kansas City Kings	Spirits of St. Louis	$ 250,000
1	4	Marvin Barnes	F/C	United States	Detroit Pistons	Spirits of St. Louis	$ 500,000
1	5	Moses Malone^	F/C	United States	Portland Trail Blazers	Spirits of St. Louis	$ 350,000
1	6	Randy Denton	C	United States	New York Knicks	Spirits of St. Louis	$ 50,000
1	7	Bird Averitt	G	United States	Buffalo Braves (from Milwaukee)	Kentucky Colonels	$ 125,000
1	8	Wil Jones	F	United States	Indiana Pacers	Kentucky Colonels	$ 50,000
1	9	Ron Thomas#	G/F	United States	Houston Rockets	Kentucky Colonels	$ 15,000
1	10	Louie Dampier	G	United States	San Antonio Spurs	Kentucky Colonels	$ 20,000
1	11	Jan van Breda Kolff	G/F	United States	New York Nets	Kentucky Colonels	$ 60,000
2	12	Mike Barr	G	United States	Kansas City Kings	Spirits of St. Louis	$ 15,000
