"Language","Number","percentage (%)","males","females"
"Polish","1 420 436","73.52","687 210","733 226"
"Yiddish","317 169","16.41","154 603","162 566"
"Russian","87 850","4.54","13 551","1 586"
"German","77 160","3.99","37 984","39 176"
"Ukrainian","15 930","0.82","15 623","307"
"Romanian","2 299",">0.01","2 293","6"
"Latvian","1 759",">0.01","1 738","21"
"Estonian","1 566",">0.01","1 555","11"
"Tatar","1 473",">0.01","1 437","36"
"Belarusian","1 343",">0.01","1 234","109"
"Other","4 824","0.24","3 289","1 535"
"Persons
that didn't name
their native language","54",">0.01","33","21"
"Total","1 931 867","100","977 948","953 919"
