"Track number","Russian title","English title","Music","Lyrics"
"01","Улыбнись","Smile!","Vitas","D. Plachkovsky"
"02","Блаженный Гуру","Blessed Guru","Vitas","Vitas"
"03","Восковые фигуры","Wax Figures","Vitas","D. Plachkovsky, Vitas, S. Pudovkin"
"04","Плачет чужая тоска","Someone's Melancholy Is Crying","Vitas","D. Plachovsky"
"05","Аве Мария","Ave Maria","Franz Schubert","Traditional prayer"
"06","Холодный мир","The Cold World","V. Molchanov","D. Plachkovsky"
"07","Остров затонувших кораблей","The Island Of Sunken Ships","O. Gazmanov","E. Nebylova"
"08","Фантастические сны","Fantastic Dreams","Vitas","Vitas, D. Plachkovsky"
"09","Good-bye","Good-bye","Vitas","Vitas"
"10","Счастье","Happiness","Vitas","Vitas"
"11","Отцвели хризантемы","Chrysanthemums Have Faded Out","N. Harito","V. Shumsky"
"12","Дождь в Тбилиси","Rain in Tbilisi","Vitas","Ratner"
"13","Слепой художник","Blind Painter","Vitas","D. Plachkovsky, Vitas, S. Pudovkin"
"14","Милая музыка","Lovely Music","Vitas","Vitas"
"15","Белоруссия","Byelorussia","Alexandra Pakhmutova","N. Dobronravov"
"16","До свидания","See You Later (Do Svidaniya)","Vitas","Vitas"
