Round	Date	Home/Away	Opponent team	Score	Scorers
1	August 24, 2008	Away	KS Vllaznia Shkodër	0–0	
2	August 30, 2008	Away	KS Teuta Durrës	0–1	Migen Memelli  42',
3	September 14, 2008	Home	KF Partizani Tirana	2–1	Daniel Xhafa  20', Andi Lila  90'
4	September 20, 2008	Away	KS Apolonia Fier	0–2	Andi Lila  28', Migen Memelli  32'
5	September 27, 2008	Home	KS Flamurtari Vlorë	3–1	Migen Memelli  17'  57'  61'
6	October 4, 2008	Away	KS Bylis Ballsh	0–0	
7	October 19, 2008	Home	KS Dinamo Tirana	2–1	Migen Memelli  32', Gjergji Muzaka  51'
8	October 25, 2008	Away	KS Shkumbini Peqin	0–0	
9	November 2, 2008	Home	KS Besa Kavaje	1–1	Jetmir Sefa  63',
10	November 9, 2008	Away	KS Elbasani	1–0	
11	November 15, 2008	Home	KS Lushnja	1–0	Laert Ndoni (O.G)  13'
12	November 23, 2008	Home	KS Vllaznia Shkoder	1–1	Bledar Devolli  79'
13	November 29, 2008	Home	KS Teuta Durres	1–2	Jetmir Sefa  77'
14	December 7, 2008	Away	KF Partizani Tirana	2–2	Jetmir Sefa  2', Migen Memelli  82'
15	December 13, 2008	Home	KS Apolonia Fier	3–0	Daniel Xhafa  37'  48', Andi Lila  64'
16	December 21, 2008	Away	KS Flamurtari Vlorë	2–0	
17	December 27, 2008	Home	KS Bylis Ballsh	6–2	Pedro Neves (O.G)  2', Migen Memelli  4'  35'  57', Gjergji Muzaka  13', Daniel Xhafa  32'
18	January 31, 2009	Away	KS Dinamo Tirana	2–4	Migen Memelli  8'  77', Ansi Agolli  58', Daniel Xhafa  88'
19	February 5, 2009	Home	KS Shkumbini Peqin	2–0	Andi Lila  27', Ansi Agolli  70'
20	February 15, 2009	Away	KS Besa Kavaje	1–3	Daniel Xhafa  29', Ansi Agolli  53', Migen Memelli  73'
21	February 21, 2009	Home	KS Elbasani	0–0	
22	March 1, 2009	Away	KS Lushnja	0–0	
23	March 7, 2009	Home	KS Lushnja	2–1	Migen Memelli  22', Devis Mukaj  64'
24	March 15, 2009	Away	KS Bylis Ballsh	0–0	
25	March 21, 2009	Home	Apolonia Fier	2–0	Bledar Devolli  32', Devis Mukaj  75'
26	April 5, 2009	Away	Flamurtari Vlore	1–2	Migen Memelli  1'  37'
27	April 11, 2009	Home	KF Elbasani	3–0	Daniel Xhafa  51', Devis Mukaj  77', Migen Memelli  86'
28	April 18, 2009	Away	Partizani Tirana	2–2	Daniel Xhafa  56'  87'
29	April 25, 2009	Home	KS Teuta Durres	4–1	Migen Memelli  5'  74', Daniel Xhafa  41', Ansi Agolli  83'
30	May 2, 2009	Away	KS Besa Kavaje	1–1	Migen Memelli  20'
31	May 9, 2009	Home	KS Shkumbini Peqin	3–1	Ahmed Mujdragic (O.G)  18', Gjergji Muzaka  27', Migen Memelli  31'
32	May 16, 2009	Away	Dinamo Tirana	2–3	Ansi Agolli  12', Sabien Lila  40', Ergys Sorra  73'
33	May 23, 2009	Home	KS Vllaznia Shkoder	2–1	Devis Mukaj  2', Migen Memelli  30'
