"AIRLINE","AIRLINE (in Russian)","LICENCE #","ICAO","IATA","DOMESTIC CODE","CALLSIGN","PHOTO"
"2nd Arkhangelsk United Aviation Division","ОАО «2-й Архангельский объединенный авиаотряд»","463","OAO","","АЧ","DVINA",""
"223rd Flight Unit","ФГКУ «Государственная авиакомпания «223 летный отряд» Министерства обороны Российской Федерации","239","CHD","","ЮЦ","CHKALOVSK-AVIA",""
"224th Flight Unit","ОАО «Государственная авиакомпания «224 летный отряд»","529","TTF","","ЮИ","CARGO UNIT",""
"Abakan-Avia","ЗАО «Авиакомпания «Абакан-Авиа»","198","ABG","","ГН","ABAKAN-AVIA",""
"AeroBratsk","ОАО «Аэропорт Братск»","240","BRP","","БВ","AEROBRA",""
"Aeroflot-Russian Airlines","ОАО «Аэрофлот — российские авиалинии»","1","AFL","SU","СУ","AEROFLOT",""
"AeroGeo","ООО «АэроГео»","517","","","ЕГ","",""
"Aerokuzbas","ООО «Аэрокузбасс»","211","NKZ","","БН","NOVOKUZNETSK",""
"Aerolimousine","ООО «Аэролимузин»","505","LIN","","ЛИ","AEROLIMOUSINE",""
"Aeroservice","ООО «Аэросервис» (Красноярский край, г. Ачинск)","","","","ЖС","",""
"Aeroservice","ООО «Аэросервис» (Забайкальский край, г. Чита)","","","","ЯУ","",""
"Aeroservice","ООО «Авиакомпания «Аэросервис» (Дагестан, г. Махачкала)","408","","","ЮГ","",""
"Air Bashkortostan","ООО «Авиакомпания «Башкортостан»","490","BBT","ZU","БТ","AGYDAL",""
"AirBridgeCargo Airlines","ООО «Авиакомпания ЭйрБриджКарго»","501","ABW","RU","БК","AIRBRIDGE CARGO",""
"Air Management Group","ЗАО «Авиа Менеджмент Груп»","481","DXT","","ДТ","DEXTER",""
"Amur aviation base","Государственное автономное учреждение Амурской области «Амурская авиабаза»","527","","","ЦХ","",""
"Auo Airclub AIST-M (1)","Автономная некоммерческая организация «Аэроклуб «АИСТ-М»","","ISM","","ИМ","STORK",""
"Ak Bars Aero","ОАО «Ак Барс Аэро»","249","BGM","2B","БГ","BUGULMA",""
"Alrosa Mirny Air Enterprise","ЗАО «Авиакомпания АЛРОСА»","230","DRU","6R","ЯМ","MIRNY",""
"Altay airlines","Алтайское краевое государственное унитарное предприятие «Алтайские авиалинии»","333","","","БШ","",""
"Angara Airlines","ОАО «Авиакомпания «Ангара»","477","AGU","IK","ИК","SARMA",""
"Argo JSK","ЗАО «Авиакомпания «АРГО»","124","","","ТЯ","",""
"Artel Staratelei \"Amur\" Airlines","ОАО «Артель старателей «Амур»","58","","","ДГ","",""
"ATRAN","ООО «АТРАН»","499","VAS","V8","ЮЛ","ATRAN",""
"Aurora","ОАО «Авиакомпания «Аврора»","486","SHU","HZ","ИМ","",""
"Aviacon Zitotrans","ОАО «Авиакомпания «Авиакон Цитотранс»","442","AZS","ZR","РЦ","ZITOTRANS",""
"Avialift Vladivostok","ЗАО «Авиалифт Владивосток»","120","VLV","","ДВ","VLADLIFT",""
"Aviashelf","ЗАО «Совместное предприятие «Авиационная компания «Авиашельф — Aviashelf»","9","","","ЮШ","",""
"Aviastar-TU","ООО «Авиационная компания «Авиастар-ТУ»","458","TUP","4B","ЦТ","TUPOLEVAIR",""
"Aviation Ministry of the Interior of the Russian Federation","","","RIF","","","INTERMIN AVIA",""
"Azimut","ООО «Авиакомпания Азимут»","","MUT","","ЯЮ","IGAVIA",""
"Barkol Airlines","ООО «Авиакомпания «Баркол»","126","BKL","","ИР","BARCOL",""
"Baltic Airlines","ЗАО «Авиакомпания «Балтийские авиалинии»","237","BLL","","БП","BALTIC AIRLINES",""
"VC Belogorie","ООО «Волейбольный клуб «Белогорье»","","BLO","","ЖХ","VC BELOGORIE",""
"Bural","ОАО «Авиакомпания Бурятские авиалинии»","218","BUN","U4","БЮ","BURAL",""
"Bylina","ЗАО «Авиакомпания «Былина»","129","BYL","","БА","BYLINA",""
"Centre-South","ООО «Авиакомпания «Центр-Юг»","169","CTS","DF","ФР","CENTRE-SOUTH",""
"Chukotavia","Федеральное государственное унитарное предприятие «ЧукотАВИА»","108","","","АД","CHUKOTAVIA",""
"Dalnerechensk avia","ООО «Дальнереченск Авиа»","549","","","ДА","",""
"Delta K","ООО «Производственно — коммерческое авиационное предприятие «Дельта К»","114","","","ШИ","",""
"Donavia","ОАО «Донавиа»","89","DNV","D9","Д9","DONAVIA",""
"Elcovka","ЗАО «Авиапредприятие «Ельцовка»","532","","","ЕД","","External images

 RA-24430"
"Flight Inspections and Systems","ЗАО «Летные проверки и системы»","467","LTS","","ЛТ","SPECAIR",""
"Flying technology airline limited","ООО «Авиакомпания «Летные технологии»","","FTG","","ШЦ","TECHNOLOGY",""
"Gazpromavia","ООО «Авиапредприятие «Газпром авиа»","423","GZP","4G","ОП","GAZPROM",""
"Globus","ООО «Глобус»","515","GLP","GH","ГЛ","GLOBUS",""
"Grozny Avia","ОАО «Авиакомпания «Грозный Авиа»","519","GOZ","ZG","ГГ","GROZNYY AVIA",""
"Helidrive","ООО «Хели-драйв»","550","","","РЖ","",""
"Helix","ЗАО «Авиакомпания «Геликс»","382","","","ПЮ","",""
"I-Fly","ООО «АЙ ФЛАЙ»","533","RSY","H5","ФЛ","RUSSIAN SKY",""
"IrAero","ЗАО «Авиакомпания «ИрАэро»","480","IAE","IO","РД","IRAERO",""
"Ikar","ООО «Авиакомпания «Икар»","36","KAR","","АЬ","KRASJET",""
"Izhavia","ОАО «Ижавиа»","479","IZA","I8","ИЖ","IZHAVIA",""
"JET AIR GROUP","ОАО «Джет Эйр Групп»","491","JSI","","СЭ","SISTEMA",""
"Jet-2000","ООО «Авиакомпания ДЖЕТ-2000»","","JTT","","","MOSCOW JET",""
"KAMCHATSKIE AVIALINEE air company","ООО «Авиационная компания «Камчатские авиалинии»","127","","","ЕФ","",""
"KAPO Avia","ЗАО «КАПО Авиа»","455","KAO","G7","ЛЯ","KAZAVIA",""
"Katekavia","ООО «Производственно-коммерческая фирма «Катэкавиа»","140","KTK","","КЮ","KATEKAVIA",""
"Kazan Air Enterprise","ОАО «Казанское авиапредприятие»","356","","","ЛЖ","",""
"Khabarovsk Airlines","Краевое государственное унитарное предприятие «Хабаровские авиалинии»","459","","","НИ","",""
"Kogalymavia","ООО «Авиакомпания Когалымавиа»","165","KGL","7K","7К","KOGALYM",""
"Komiaviatrans","ОАО «Комиавиатранс»","174","KMA","","ИГ","KOMI AVIA",""
"Konvers Avia","ЗАО «Авиакомпания Конверс Авиа»","419","CVS","","ЕШ","CONVERS",""
"Kosmos","ЗАО «Производственное объединение «Космос» ОАО РКК «Энергия» им. С. П. Королева","444","KSM","K6","ГК","KOSMOS",""
"Kostroma Air Enterprise","ОАО «Костромское авиапредприятие»","489","","","КБ","",""
"KrasAvia","Государственное предприятие Красноярского края «КрасАвиа»","484","SSJ","","ЭК","SIBERIAN SKY",""
"Lukiaviatrans","ООО «Лукиавиатранс»","","LKV","","УЛ","",""
"LUKoil-Avia","ООО «ЛУКОЙЛ-АВИА»","469","LUK","","ЛЩ","LUKOIL",""
"MBKS","ОАО «МБК-С»","","PLG","","","PILGRIM",""
"Meridian (1)","Авиакомпания «Меридиан»","238","MMM","","МП","AVIAMERIDIAN",""
"Meridian+","ООО «Научно-производственное аэрогеодезическое предприятие «Меридиан+»","","MDN","","ЦЕ","",""
"Moscow Aircraft Overhaul Plant","ЗАО «Московский авиационно-ремонтный завод РОСТО»","25","","","РЮ","",""
"Moskovia Airlines","ОАО «Авиакомпания Московия»","389","GAI","3R","3Р","GROMOV AIRLINE",""
"MOSCOW AVIATION CENTRE","Государственное казенное учреждение города Москвы «Московский авиационный центр»","546","","","ЦФ","",""
"Murmansk aviation enterprise","ООО «Мурманское авиационное предприятие»","541","MRM","","МУ","MURMAN",""
"Naryan-Mar United Aviation Squadron","ОАО «Нарьян-Марский объединенный авиаотряд»","497","","","НЯ","",""
"Nizhnevartovskavia","ОАО «Нижневартовскавиа»","470","NVK","","НП","VARTOVSKAVIA",""
"Nordavia","ЗАО «Нордавиа — региональные авиалинии»","466","AUL","5N","5Н","ARCHANGELSK AIR",""
"Nordwind Airlines","ООО «Северный Ветер»","516","NWS","N4","КЛ","NORDWIND",""
"Northwest Air Base","Государственное учреждение Республики Карелия «Северо-Западная база авиационной охраны лесов»","520","","","БХ","",""
"Orenburg Airlines","ОАО «Оренбургские авиалинии»","244","ORB","R2","Р2","ORENBURG",""
"Orenburg Tsentralny Airport","Федеральное государственное унитарное предприятие «Международный аэропорт «Оренбург»","539","ORG","O7","УЭ","ORENAVIA",""
"Orion-x","ООО «Орион-Икс»","","OIX","","","ORIONIX",""
"PANH","ОАО «Научно-производственная компания «ПАНХ»","69","PNH","","ЮФ","KUBAN LIK",""
"PANH Aircompany","ООО «Авиационная компания «ПАНХ»","542","","","ШС","",""
"Petropavlovsk","ЗАО «Управляющая компания «Петропавловск»","","PPV","","ПВ","PAVLOVSK",""
"Petropavlovsk-Kamchatsky Air Enterprise","Государственное унитарное предприятие Камчатского края «Камчатское авиационное предприятие»","330","PTK","","ДЕ","PETROKAM",""
"Polar Airlines","ОАО «Авиакомпания «Полярные авиалинии»","538","RKA","","ЯП","AIR SAKHA",""
"Polet Airlines","ЗАО «Авиакомпания «Полет»","14","POT","YQ","ПО","POLET",""
"Pskovavia","ОАО «Псковавиа»","465","PSW","","ЛП","PSKOVAVIA",""
"Red Wings Airlines","ЗАО «Ред Вингс»","57","RWZ","WZ","ИН","AIR RED",""
"Rosneft-Baltica","ЗАО «Роснефть-Балтика»","152","RNB","","ЖЕ","ROSBALT",""
"Rossiya","ОАО «Авиакомпания «Россия»","2","SDM","FV","ПЛ","RUSSIA",""
"Rosvertol-Avia","ЗАО «Авиакомпания «Роствертол-Авиа»","514","RVT","","ВЛ","ROSTVERTOL",""
"Rusaero","ЗАО «Авиационная компания «РУССЭЙР»","","RUR","","","RUSSTAR",""
"RusJet","ОАО «Авиакомпания «РусДжет»","498","RSJ","","ШТ","RUSJET",""
"RusLine","ЗАО «Авиационная Компания «РусЛайн»","225","RLU","7R","РГ","RUSLINE AIR",""
"Russian Air Force","","","RFF","","","RUSSIAN AIRFORCE",""
"Russian Sky Airlines","ЗАО «Авиакомпания «Русское небо»","61","ESL","P7","П7","RADUGA",""
"S7 Airlines (OJSC Siberia Airlines )","ОАО «Авиакомпания «Сибирь»","31","SBI","S7","С7","SIBERIAN AIRLINES",""
"Saratov Airlines","ОАО «Саратовские авиалинии»","102","SOV","6W","6В","SARATOV AIR",""
"Severo-zapad","ООО «Авиакомпания «Северо-Запад»","548","","","ЕИ","",""
"Severstal Air Company","ООО «Авиапредприятие «Северсталь»","251","SSF","D2","Д2","SEVERSTAL",""
"Shar Ink","ООО «Производственная многоотраслевая авиакомпания «Шар инк Лтд.»","208","UGP","","ЖВ","SHARINK",""
"Sibia","ООО «Авиакомпания «СИБИА»","99","SBD","","ШВ","SIBIA","External images

 RA-40487"
"Simargl Air Company","ООО «Авиакомпания «СИМАРГЛ»","246","SML","","СГ","SIMAVIA",""
"Sirius-Aero","ООО «Авиакомпания «Сириус-Аэро»","207","CIG","","ВЦ","SIRIUS AERO",""
"Skol Airlines","ООО «Авиакомпания «СКОЛ»","228","CDV","","СД","SKOL",""
"Smolenskaerotrans","ЗАО «Смоленскаэротранс»","","","","УФ","",""
"Sokol","ЗАО «Авиакомпания «Сокол»","284","PIV","","ЮП","AEROSOKOL",""
"Spark+","ЗАО «Авиакомпания «СПАРК авиа»","73","BVV","","ФЮ","GAZAVIA",""
"SPECIAL DETACHMENT - RUSSIA, FED.ST.B.I.","ФГБУ «Специальный лётный отряд «Россия» Управления делами Президента Российской Федерации","530","RSD","","ЛР","STATE AERO",""
"State Unitary Air Enterprise MChS Rossii","ФГУАП МЧС России","8","SUM","","РФ","SUMES",""
"Taimyr Air Company","ОАО «Авиакомпания «Таймыр»","452","TYA","Y7","ТИ","TAIMYR",""
"Tomsk Avia","ООО «Авиакомпания «Томск Авиа»","494","TSK","","СП","TOMSK AVIA",""
"Transaero Airlines","ОАО «Авиационная компания «Трансаэро»","51","TSO","UN","УН","TRANSOVIET",""
"TSSKB-Progress","ФГУП «Государственный научно-производственный ракетно-космический центр «ЦСКБ-Прогресс»","","PSS","","ЦС","PROGRESS",""
"Tulpar","ООО «Авиакомпания «Тулпар»","544","","","ТШ","",""
"Tulpar air","ООО «Авиакомпания «Тулпар Эйр»","359","TUL","","ТЫ","URSAL",""
