| Year | IBM Model Number   | Name                | Processor                   | Bus        | HD Interface         | Case                                       | Notes                                            |
| 1987 | 8525-001           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Single disk drive                                |
| 1987 | 8525-004           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Single disk drive                                |
| 1987 | 8525-G01           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Single disk drive, enhanced keyboard             |
| 1987 | 8525-G04           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Single disk drive, enhanced keyboard             |
|      | 8525-101           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Single disk drive                                |
|      | 8525-104           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Single disk drive                                |
| 1988 | 8525-L01           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Single disk drive, token-ring network adapter    |
| 1988 | 8525-L04           | Model 25            | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Single disk drive, token-ring network adapter    |
| 1987 | 8525-C02           | Model 25 Collegiate | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Two disk drives                                  |
| 1987 | 8525-C05           | Model 25 Collegiate | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Two disk drives                                  |
| 1987 | 8525-K02           | Model 25 Collegiate | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Monochrome display | Two disk drives, enhanced keyboard               |
| 1987 | 8525-K05           | Model 25 Collegiate | 8 MHz Intel 8086            | ISA 8 bit  |                      | Desktop with integrated Color display      | Two disk drives, enhanced keyboard               |
| 1990 | 8525-006           | Model 25 286        | 10 MHz Intel 286            | ISA 16 bit |                      | Desktop with integrated Color display      | Single HD disk drive                             |
| 1990 | 8525-036           | Model 25 286        | 10 MHz Intel 286            | ISA 16 bit | ST-506, 30MB drive   | Desktop with integrated Color display      | Single HD disk drive                             |
