"Year","Laetare Medalist","Position","Year","Laetare Medalist","Position"
"1883","John Gilmary Shea","Historian","1949","Irene Dunne Griffin","Actress"
"1884","Patrick Charles Keely","Architect","1950","General Joseph L. Collins","Soldier"
"1885","Eliza Allen Starr","Art Critic","1951","John Henry Phelan","Philanthropist"
"1886","General John Newton","Engineer","1952","Thomas E. Murray","Member of the U.S. Atomic Energy Commission"
"1887","Edward Preuss","Publicist","1953","I.A. O'Shaughnessy","Philanthropist"
"1888","Patrick V. Hickey","Founder and Editor of The Catholic Review","1954","Jefferson Caffery","Diplomat"
"1889","Anna Hanson Dorsey","Novelist","1955","George Meany","Labor Leader"
"1890","William J. Onahan","Organizer of the American Catholic Congress","1956","General Alfred M. Gruenther","Soldier"
"1891","Daniel Dougherty","Orator","1957","Clare Boothe Luce","Diplomat"
"1892","Henry F. Brownson","Philosopher and Author","1958","Frank M. Folsom","Industrialist"
"1893","Patrick Donohue","Founder of the Boston Pilot","1959","Robert Daniel Murphy","Diplomat"
"1894","Augustin Daly","Theatrical Producer","1960","George N. Shuster","Educator"
"1895","Mary Anne Sadlier","Novelist","1961","John F. Kennedy","President of the United States"
"1896","General William Starke Rosencrans","Soldier","1962","Francis J. Braceland","Psychiatrist"
"1897","Thomas Addis Emmet","Physician","1963","Admiral George Whelan Anderson, Jr.","Chief of Naval Operations"
"1898","Timothy Edward Howard","Jurist","1964","Phyllis McGinley","Poet"
"1899","Mary Gwendolin Caldwell","Philanthropist","1965","Frederick D. Rossini","Scientist"
"1900","John A. Creighton","Philanthropist","1966","Patrick F. & Patricia Caron Crowley","Founders of The Christian Movement"
"1901","William Bourke Cockran","Orator","1967","J. Peter Grace","Industrialist"
"1902","John Benjamin Murphy","Surgeon","1968","Robert Sargent Shriver","Diplomat"
"1903","Charles Jerome Bonaparte","Lawyer","1969","William J. Brennan Jr.","Associate Justice of the Supreme Court"
"1904","Richard C. Kerens","Diplomat","1970","Dr. William B. Walsh","Physician"
"1905","Thomas B. Fitzpatrick","Philanthropist","1971","Walter Kerr & Jean Kerr","Drama Critic and Author"
"1906","Francis J. Quinlan","Physician","1972","Dorothy Day","Founder of the Catholic Worker Movement"
"1907","Katherine Eleanor Conway","Journalist and Author","1973","Rev. John A. O'Brien","Author"
"1908","James C. Monaghan","Economist","1974","James A. Farley","Business Executive and Former Postmaster General"
"1909","Frances Tieran (Christian Reid)","Novelist","1975","Sr. Ann Ida Gannon, BMV","President of Mundelein College"
