| Region    | Seed | Team                     | Coach               | Finished            | Final opponent          | Score    |
| West      |      |                          |                     |                     |                         |          |
| West      | 1    | St. John's               | Lou Carnesecca      | Round of 32         | 8 Auburn                | L 81-65  |
| West      | 2    | Louisville               | Denny Crum          | Champion            | 1 Duke                  | W 72-69  |
| West      | 3    | North Carolina           | Dean Smith          | Sweet Sixteen       | 2 Louisville            | L 94-79  |
| West      | 4    | UNLV                     | Jerry Tarkanian     | Sweet Sixteen       | 8 Auburn                | L 70-63  |
| West      | 5    | Maryland                 | Lefty Driesell      | Round of 32         | 4 UNLV                  | L 70-64  |
| West      | 6    | UAB                      | Gene Bartow         | Round of 32         | 3 North Carolina        | L 77-59  |
| West      | 7    | Bradley                  | Dick Versace        | Round of 32         | 2 Louisville            | L 82-68  |
| West      | 8    | Auburn                   | Sonny Smith         | Regional Runner-up  | 2 Louisville            | L 84-76  |
| West      | 9    | Arizona                  | Lute Olson          | Round of 64         | 8 Auburn                | L 73-63  |
| West      | 10   | UTEP                     | Don Haskins         | Round of 64         | 7 Bradley               | L 83-65  |
| West      | 11   | Missouri                 | Norm Stewart        | Round of 64         | 6 UAB                   | L 66-64  |
| West      | 12   | Pepperdine               | Jim Harrick         | Round of 64         | 5 Maryland              | L 69-64  |
| West      | 13   | Northeast Louisiana      | Mike Vining         | Round of 64         | 4 UNLV                  | L 74-51  |
| West      | 14   | Utah                     | Lynn Archibald      | Round of 64         | 3 North Carolina        | L 84-72  |
| West      | 15   | Drexel                   | Eddie Burke         | Round of 64         | 2 Louisville            | L 93-73  |
| West      | 16   | Montana State            | Stu Starner         | Round of 64         | 1 St. John's            | L 83-74  |
| Midwest   |      |                          |                     |                     |                         |          |
| Midwest   | 1    | Kansas                   | Larry Brown         | National Semifinals | 1 Duke                  | L 71-67  |
| Midwest   | 2    | Michigan                 | Bill Frieder        | Round of 32         | 7 Iowa State            | L 72-69  |
| Midwest   | 3    | Notre Dame               | Digger Phelps       | Round of 64         | 14 Arkansas-Little Rock | L 90-83  |
| Midwest   | 4    | Georgetown               | John Thompson       | Round of 32         | 5 Michigan State        | L 80-68  |
| Midwest   | 5    | Michigan State           | Jud Heathcote       | Sweet Sixteen       | 1 Kansas                | L 96-86  |
| Midwest   | 6    | North Carolina State     | Jim Valvano         | Regional Runner-up  | 1 Kansas                | L 75-67  |
| Midwest   | 7    | Iowa State               | Johnny Orr          | Sweet Sixteen       | 6 North Carolina State  | L 70-66  |
| Midwest   | 8    | Jacksonville             | Bob Wenzel          | Round of 64         | 9 Temple                | L 61-50  |
| Midwest   | 9    | Temple                   | John Chaney         | Round of 32         | 1 Kansas                | L 65-43  |
| Midwest   | 10   | Miami, Ohio              | Jerry Peirson       | Round of 64         | 7 Iowa State            | L 81-79  |
| Midwest   | 11   | Iowa                     | George Raveling     | Round of 64         | 6 North Carolina State  | L 66-64  |
| Midwest   | 12   | Washington               | Andy Russo          | Round of 64         | 5 Michigan State        | L 72-70  |
| Midwest   | 13   | Texas Tech               | Gerald Myers        | Round of 64         | 4 Georgetown            | L 70-64  |
| Midwest   | 14   | Arkansas-Little Rock     | Mike Newell         | Round of 32         | 6 North Carolina State  | L 80-66  |
| Midwest   | 15   | Akron                    | Bob Huggins         | Round of 64         | 2 Michigan              | L 70-64  |
| Midwest   | 16   | North Carolina A&T       | Don Corbett         | Round of 64         | 1 Kansas                | L 71-46  |
| Southeast |      |                          |                     |                     |                         |          |
