District	Incumbent	Party	First\nelected	Result	Candidates
Pennsylvania 1	Harry C. Ransley	Republican	1920	Re-elected	Harry C. Ransley (R) 52.1%\nJoseph Marinelli (D) 47.2%\nGamshei Kutlikoff (S) 0.4%\nMorris H. Wickman (C) 0.3%
Pennsylvania 2	James M. Beck	Republican	1927	Resigned\nRepublican hold	William H. Wilson (R) 54.7%\nJames P. McGranery (D) 44.5%\nHarriet Norris (S) 0.6%\nJoseph Mackie (Proh) 0.2%
Pennsylvania 3	Alfred M. Waldron	Republican	1932	Retired\nRepublican hold	Clare G. Fenerty (R) 52.0%\nMichael Joseph Bradley (D) 46.8%\nAlfred M. Waldron (Industrial Recovery) 0.6%\nJoseph Kazmark (S) 0.5%\nRose E. Landberg (Prog) 0.1%
Pennsylvania 4	George W. Edmonds	Republican	1932	Lost re-election\nDemocratic gain	J. Burrwood Daly (D) 49.6%\nGeorge W. Edmonds (R) 49.2%\nWilliam Eckel (S) 0.7%\nSterling T. Rochester (C) 0.4%\nCharles Fred White (Prog) 0.08%
Pennsylvania 5	James J. Connolly	Republican	1920	Lost re-election\nDemocratic gain	Frank Joseph Gerard Dorsey (D) 52.2%\nJames J. Connolly (R) 46.7%\nWarren D. Mullin (S) 1.0%\nArthur Braun (C) 0.2%
Pennsylvania 6	Edward L. Stokes	Republican	1931	Retired to run for Governor\nDemocratic gain	Michael J. Stack (D) 50.8%\nRobert L. Davis (R) 48.2%\nJohn P. Innerarity (S) 0.6%\nBen Gardner (C) 0.2%\nRomain C. Hassrick (Proh) 0.2%\nBenjamin J. Spang (Prog) 0.06%
Pennsylvania 7	George P. Darrow	Republican	1914	Re-elected	George P. Darrow (R) 52.7%\nJames C. Crumlish (D) 46.4%\nJoseph Doerr (S) 0.7%\nT. Henry Walnut (Proh) 0.1%\nWilliam F. Kane (Prog) 0.08%
Pennsylvania 8	James Wolfenden	Republican	1928	Re-elected	James Wolfenden (R) 57.2%\nJohn E. McDonough (D) 41.3%\nEdward B. Rawson (S) 1.0%\nC. Wilfred Conard (Proh) 0.6%
Pennsylvania 9	Oliver W. Frey	Democratic	1933	Re-elected	Oliver W. Frey (D) 50.2%\nTheodore R. Gardner (R) 47.6%\nWalter L. Huhn (S) 1.6%\nManda M. Horlacker (Proh) 0.4%\nSteven Pukanecz (C) 0.2%
Pennsylvania 10	J. Roland Kinzer	Republican	1930	Re-elected	J. Roland Kinzer (R) 57.6%\nCharles T. Carpenter (D) 41.7%\nWilliam W. Halligan (S) 0.7%
Pennsylvania 11	Patrick J. Boland	Democratic	1930	Re-elected	Patrick J. Boland (D) 98.1%\nEdwin S. Williams (Proh) 1.5%\nJoseph Dougher (C) 0.4%
Pennsylvania 12	Charles Murray Turpin	Republican	1929	Re-elected	Charles Murray Turpin (R) 51.4%\nJohn J. Casey (D) 48.0%\nJudson N. Bailey (Proh) 0.5%\nJohn A. Muldowney (C) 0.2%
Pennsylvania 13	George F. Brumm	Republican	1928	Died in office\nDemocratic gain	James H. Gildea (D) 50.1%\nDavid W. Bechtel (R) 45.7%\nSusan I. Brumm (Equal Rights) 2.7%\nLeo Sitko (S) 1.3%\nEdith L. Reed (Proh) 0.3%
Pennsylvania 14	William Emanuel Richardson	Democratic	1932	Re-elected	William Emanuel Richardson (D) 63.3%\nRaymond S. Hofses (S) 32.2%\nRobert S. MacDonough (I) 4.5%
Pennsylvania 15	Louis T. McFadden	Republican	1914	Lost re-election\nDemocratic gain	Charles E. Dietrich (D) 50.1%\nLouis T. McFadden (R) 49.3%\nHenry L. Springer (S) 0.5%
Pennsylvania 16	Robert F. Rich	Republican	1930	Re-elected	Robert F. Rich (R) 53.0%\nPaul A. Rothfuss (D) 44.4%\nGeorge L. Reeder (Peoples) 1.7%\nRobert I. Fisher (S) 0.9%
Pennsylvania 17	J. William Ditter	Republican	1932	Re-elected	J. William Ditter (R) 56.2%\nHoward J. Dager (D) 42.0%\nGeorge W. Bause (S) 1.3%\nRaymond J. Keisen (Proh) 0.5%
Pennsylvania 18	Benjamin K. Focht	Republican	1932	Re-elected	Benjamin K. Focht (R) 55.6%\nB. Stiles Duncan (D) 44.4%
Pennsylvania 19	Isaac Hoffer Doutrich	Republican	1926	Re-elected	Isaac Hoffer Doutrich (R) 55.1%\nForrest Mercer (D) 42.9%\nIrving J. Noon (S) 0.9%\nIda G. Kast (Proh) 0.9%\nAlbert W. Penner (I) 0.1%
Pennsylvania 20	Thomas Cunningham Cochran	Republican	1926	Retired\nDemocratic gain	Denis J. Driscoll (D) 52.7%\nLeon H. Gavin (R) 43.7%\nRobert G. Burnham (Proh) 2.8%\nRobert S. Stewart (S) 0.8%
Pennsylvania 21	Francis E. Walter	Democratic	1932	Re-elected	Francis E. Walter (D) 58.7%\nT. Fred Woodley (R) 40.0%\nSimon R. Hartzell (S) 1.3%
Pennsylvania 22	Harry L. Haines	Democratic	1930	Re-elected	Harry L. Haines (D) 54.6%\nEmanuel C. Beck (R) 43.7%\nWilliam P. Gemmil (Proh) 1.0%\nHarry Boeckel (S) 0.8%
Pennsylvania 23	J. Banks Kurtz	Republican	1922	Lost re-election\nDemocratic gain	Don Gingery (D) 52.4%\nJ. Banks Kurtz (R) 44.2%\nGeorge W. Hartman (S) 3.4%
Pennsylvania 24	J. Buell Snyder	Democratic	1932	Re-elected	J. Buell Snyder (D) 57.3%\nPaul H. Griffith (R) 42.0%\nCharles H. Musgrove (S) 0.6%\nVictor Dellarose (C) 0.2%
Pennsylvania 25	Charles I. Faddis	Democratic	1932	Re-elected	Charles I. Faddis (D) 59.4%\nAlbert S. Sickman (R) 38.6%\nHuber Ferguson (Proh) 1.7%\nFred Siders (C) 0.4%
Pennsylvania 26	J. Howard Swick	Republican	1926	Lost re-election\nDemocratic gain	Charles R. Eckert (D) 59.1%\nJ. Howard Swick (R) 40.0%\nCharles Baldwin (S) 0.9%
Pennsylvania 27	Nathan Leroy Strong	Republican	1916	Lost re-election\nDemocratic gain	Joseph Anthony Gray (D) 54.4%\nNathan Leroy Strong (R) 44.5%\nFinley S. Goldthwaite (S) 1.1%
Pennsylvania 28	William M. Berlin	Democratic	1932	Re-elected	William M. Berlin (D) 92.5%\nS. W. Bierer (Proh) 3.8%\nMorris Mallinger (S) 3.8%
Pennsylvania 29	Charles N. Crosby	Democratic	1932	Re-elected	Charles N. Crosby (D) 52.5%\nWill Rose (R) 45.6%\nRalph W. Tillotson (S) 0.9%\nFrank H. Selden (Proh) 0.9%\nLeo Mittelmeier (C) 0.2%
