#	Date	Venue	Opponent	Score	Result	Competition
1	10 February 2002	Parnell Park, Dublin	Donegal	–	2–10 : 0–14	National Football League Round 1
2	17 February 2002	Healy Park, Omagh	Tyrone	–	2–10 : 0–18	National Football League Round 2
3	3 March 2002	Parnell Park, Dublin	Westmeath	–	3–13 : 1–16	National Football League Round 4
4	24 March 2002	Parnell Park, Dublin	Roscommon	–	0–16 : 2–12	National Football League Round 6
5	31 March 2002	Tuam Stadium, Galway	Galway	–	1–12 : 1–12	National Football League Round 7
6	2 February 2003	Parnell Park, Dublin	Armagh	–	0–7 : 1–15	National Football League Round 1
7	16 February 2003	Parnell Park, Dublin	Tyrone	–	0–12 : 0–11	National Football League Round 3
8	2 March 2003	Fitzgerald Stadium, Kerry	Kerry	–	0–14 : 2–11	National Football League Round 4
9	23 March 2003	Dr. Hyde Park, Roscommon	Roscommon	–	0–17 : 0–14	National Football League Round 6
10	6 April 2003	Parnell Park, Dublin	Galway	–	0–12 : 1–9	National Football League Round 7
11	1 February 2004	Parnell Park, Dublin	Tyrone	–	0–9 : 0–8	National Football League Round 1
12	8 February 2004	McHale Park, Castlebar	Mayo	–	0–3 : 1–10	National Football League Round 2
13	15 February 2004	Parnell Park, Dublin	Kerry	–	0–12 : 1–12	National Football League Round 3
14	7 March 2004	Cusack Park, Mullingar	Westmeath	–	0–15 : 0–10	National Football League Round 4
15	21 March 2004	Parnell Park, Dublin	Cork	–	0–9 : 0–9	National Football League Round 6
16	5 February 2005	Parnell Park, Dublin	Mayo	–	2–13 : 1–15	National Football League Round 1
17	13 February 2005	Healy Park, Omagh	Tyrone	–	0–9 : 1–10	National Football League Round 2
18	5 March 2005	Austin Stack Park, Tralee	Kerry	–	2–11 : 2–13	National Football League Round 3
19	12 March 2005	Parnell Park, Dublin	Westmeath	–	0–11 : 0–9	National Football League Round 4
20	20 March 2005	Parnell Park, Dublin	Donegal	–	1–11 : 0–13	National Football League Round 5
21	26 March 2005	Pairc Ui Rinn, Cork	Cork	–	1–6 : 0–18	National Football League Round 6
22	3 April 2005	O'Connor Park, Tullamore	Offaly	–	1–13 : 2–6	National Football League Round 7
23	12 February 2006	Parnell Park, Dublin	Monaghan	–	0–7 : 1–11	National Football League Round 2
24	4 March 2006	Parnell Park, Dublin	Offaly	–	1–10 : 3–2	National Football League Round 3
25	11 March 2006	Pairc Ui Rinn, Cork	Cork	–	1–10 : 1–11	National Football League Round 4
26	19 March 2006	Brewster Park, Fermanagh	Fermanagh	–	0–8 : 0–9	National Football League Round 5
27	25 March 2006	Parnell Park, Dublin	Mayo	–	4–10 : 1–10	National Football League Round 6
28	9 April 2006	Fitzgerald Stadium, Kerry	Kerry	–	0–13 : 0–13	National Football League Round 7
29	3 February 2007	Croke Park, Dublin	Tyrone	–	0–10 : 0–11	National Football League Round 1
30	10 February 2007	Gaelic Grounds, Limerick	Limerick	–	0–14 : 1–10	National Football League Round 2
31	25 February 2007	Ballyshannon, Donegal	Donegal	–	0–5 : 0–9	National Football League Round 3
32	10 March 2007	Parnell Park, Dublin	Cork	–	1–13 : 0–7	National Football League Round 4
33	24 March 2007	Parnell Park, Dublin	Fermanagh	–	3–15 : 0–7	National Football League Round 5
34	1 April 2007	McHale Park, Castlebar	Mayo	–	0–9 : 0–10	National Football League Round 6
35	8 April 2007	Parnell Park, Dublin	Kerry	–	2–7 : 1–12	National Football League Round 7
36	2 February 2008	Parnell Park, Dublin	Westmeath	–	1–7 : 1–5	National Football League Round 1
37	1 March 2008	Kingspan Breffni Park, Cavan	Cavan	–	1–9 : 0–7	National Football League Round 3
38	23 March 2008	Parnell Park, Dublin	Monaghan	–	1–10 : 0–13	National Football League Round 4
39	13 April 2008	Crossmaglen, Armagh	Armagh	–	1–10 : 3–13	National Football League Round 5
40	20 April 2008	Parnell Park, Dublin	Meath	–	0–13 : 2–6	National Football League Round 7
41	26 April 2008	Pairc Tailteann, Meath	Westmeath	–	0–10 : 0–15	National Football League Division 2 Final
42	31 January 2009	Croke Park, Dublin	Tyrone	–	1–16 : 1–18	National Football League Round 1
43	15 February 2009	Pearse Stadium, Salthill	Galway	–	0–13 : 3–12	National Football League Round 2
44	8 March 2009	Ballyshannon, Donegal	Donegal	–	0–13 : 1–8	National Football League Round 3
45	14 March 2009	Parnell Park, Dublin	Derry	–	1–12 : 0–20	National Football League Round 4
46	29 March 2009	Parnell Park, Dublin	Kerry	–	1–15 : 1–15	National Football League Round 6
47	12 April 2009	Parnell Park, Dublin	Westmeath	–	5–22 : 0–10	National Football League Round 7
48	7 February 2010	Fitzgerald Stadium, Killarney	Kerry	–	1–12 : 1–10	National Football League Round 1
49	7 March 2010	McHale Park, Castlebar	Mayo	–	1–9 : 1–8	National Football League Round 3
50	13 March 2010	Parnell Park, Dublin	Monaghan	–	2–11 : 1–9	National Football League Round 4
51	20 March 2010	Pairc Ui Rinn, Cork	Cork	–	2–6 : 2–13	National Football League Round 5
52	27 March 2010	Parnell Park, Dublin	Galway	–	0–14 : 1–14	National Football League Round 6
