"Place","Shooter","5 pts","4 pts","3 pts","2 pts","1 pts","0 pts","Total","Rank"
"1","Norway (NOR)","12","16","12","-","-","-","160",""
"1","Ole Lilloe-Olsen","4","5","1","-","-","-","43","1"
"1","Einar Liberg","5","2","3","-","-","-","42","2"
"1","Harald Natvig","2","4","4","-","-","-","38","8"
"1","Otto Olsen","1","5","4","-","-","-","37","11"
"2","Sweden (SWE)","8","19","12","1","-","-","154",""
"2","Alfred Swahn","3","4","3","-","-","-","40","5"
"2","Fredric Landelius","2","5","3","-","-","-","39","7"
"2","Otto Hultberg","1","6","3","-","-","-","38","8"
"2","Mauritz Johansson","2","4","3","1","-","-","37","11"
"3","United States (USA)","7","17","13","3","-","-","148",""
"3","John Boles","3","5","2","-","-","-","41","3"
"3","Walter Stokes","1","6","3","-","-","-","38","8"
"3","Raymond Coulter","2","4","3","1","-","-","37","11"
"3","Dennis Fenton","1","2","5","2","-","-","32","16"
"4","Great Britain (GBR)","8","9","18","3","-","2","136",""
"4","Cyril Mackworth-Praed","6","-","3","1","-","-","41","3"
"4","Alexander Rogers","1","2","5","2","-","-","32","16"
"4","John Faunthorpe","-","5","4","-","-","1","32","16"
"4","John O'Leary","1","2","6","-","-","1","31","19"
"5","Finland (FIN)","7","10","15","5","-","3","130",""
"5","Karl Magnus Wegelius","2","6","2","-","-","-","40","5"
"5","Martti Liuttula","3","2","3","2","-","-","36","14"
"5","Jalo Autonen","1","1","5","2","-","1","28","21"
"5","Toivo Tikkanen","1","1","5","1","-","2","26","22"
"6","Hungary (HUN)","1","8","17","4","1","9","97",""
"6","Gusztáv Szomjas","-","4","4","1","-","1","30","20"
"6","Rezső Velez","-","1","5","2","-","2","23","23"
"6","Elemér Takács","1","2","3","-","1","3","23","23"
"6","László Szomjas","-","1","5","1","-","3","21","25"
"–","Czechoslovakia (TCH)","1","2","6","1","-","-","33",""
"–","Miloslav Hlaváč","1","2","6","1","-","-","33","15"
