"Club","Winners","Runner-ups","Winning Years","Runner-up Years"
"FK Austria Wien","6","2","1990, 1991, 1992, 1994, 2003, 2004","1986, 1994"
"SK Rapid Wien","4","1","1986, 1987, 1988, 2008","1995, 1996"
"SK Sturm Graz","3","2","1996, 1998, 1999","1997, 2002"
"SV Austria Salzburg","3","0","1994, 1995, 1997","–"
"Grazer AK","2","1","2000, 2002","2004"
"VfB Admira Wacker Mödling","1","1","1989","1992"
"FC Kärnten","1","1","2001","2003"
"FC Swarovski Tirol / FC Tirol Innsbruck","0*","6","–","1987, 1989, 1990, 1993, 2000, 2001"
"Kremser SC","0","1","–","1988"
"SV Stockerau","0","1","–","1991"
"SV Ried","0","1","–","1998"
"LASK Linz","0","1","–","1999"
"SV Horn","0","1","–","2008"
