Sr. No.	Name	From	Till	Occupation
1.	Padamvir Singh	2009	Current	IAS
2.	Rudhra Gangadharan	06/04/2006	02/09/2009	IAS
3.	D.S. Mathur	29/10/2004	06/04/2006	IAS
4.	Binod Kumar	20/01/2003	15/10/2004	IAS
5.	Wajahat Habibullah	08/11/2000	13/01/2003	IAS
6.	B.S. Baswan	06/10/1996	08/11/2000	IAS
7.	N.C. Saxena	25/05/1993	06/10/1996	IAS
8.	B.N. Yugandhar	26/05/1988	25/01/1993	IAS
9.	R.N. Chopra	06/06/1985	29/04/1988	IAS
10.	K. Ramanujam	27/02/1984	24/02/1985	IAS
11.	R.K. Shastri	09/11/1982	27/02/1984	IAS
12.	I.C. Puri	16/06/1982	11/10/1982	IAS
13.	P.S. Appu	02/08/1980	01/03/1982	IAS
14.	G.C.L. Joneja	23/07/1977	30/06/1980	IAS
15.	B.C. Mathur	17/05/1977	23/07/1977	IAS
16.	Rajeshwar Prasad	11/05/1973	11/04/1977	IAS
17.	D.D. Sathe	19/03/1969	11/05/1973	ICS
18.	K.K. Das	12/07/1968	24/02/1969	ICS
19.	M.G. Pimputkar	04/09/1965	29/04/1968	ICS
20.	S.K. Dutta	13/08/1963	02/07/1965	ICS
21.	A.N. Jha	01/09/1959	30/09/1962	ICS
