Season	Competition	Round	Club	1st Leg	2nd Leg
2001–02	UEFA Cup	QR	CSKA Sofia	1–2 (H)	1–3 (A)
2003	UEFA Intertoto Cup	1R	Omagh Town	1–0 (H)	7–1 (A)
2003	UEFA Intertoto Cup	2R	Cibalia	1–1 (H)	2–4 (A)
2004–05	UEFA Cup	1Q	Nistru Otaci	1–1 (A)	1–2 (H)
2006–07	UEFA Champions League	1Q	Široki Brijeg	0–1 (H)	0–1 (A)
2007	UEFA Intertoto Cup	1R	Ararat Yerevan	4–1 (H)	0–2 (A)
2007	UEFA Intertoto Cup	2R	Chornomorets Odesa	2–4 (A)	0–2 (H)
2008	UEFA Intertoto Cup	1R	Cracovia Kraków	2–1 (A)	3–0 (H)
2008	UEFA Intertoto Cup	2R	Sturm Graz	0–2 (A)	0–0 (H)
2011–12	UEFA Europa League	2Q	Ventspils	0–1 (H)	2–3 (A)
2012–13	UEFA Europa League	2Q	Ried	1–1 (H)	0–0 (A)
2013–14	UEFA Europa League	2Q	Milsami	1–1 (H)	1–1 (p. 2–4)(A)
