"Season","Champion","Runner-up","Score","Third place"
"1995–96","Śląsk Eska Wrocław","Browary Tyskie Bobry Bytom","4–2","Polonia Przemyśl"
"1996–97","Mazowszanka PEKAES Pruszków","Spójnia Stargard Szczeciński","4–0","Browary Tyskie Bobry Bytom"
"1997–98","Zepter Śląsk Wrocław","PEKAES Pruszków","4–3","Ericsson Bobry Bytom"
"1998–99","Zepter Śląsk Wrocław","Anwil Nobiles Włocławek","4–3","Ericsson Bobry Bytom"
"1999–00","Zepter Śląsk Wrocław","Anwil Włocławek","4–1","Hoop-Pekaes Pruszków"
"2000–01","Zepter Śląsk Wrocław","Anwil Włocławek","4–1","Prokom Trefl Sopot"
"2001–02","Idea Śląsk Wrocław","Prokom Trefl Sopot","4–1","Stal Ostrów Wielkopolski"
"2002–03","Anwil Włocławek","Prokom Trefl Sopot","4–2","Idea Śląsk Wrocław"
"2003–04","Prokom Trefl Sopot","Idea Śląsk Wrocław","4–1","Polonia Warszawa"
"2004–05","Prokom Trefl Sopot","Anwil Włocławek","4–2","Polonia Warszawa"
"2005–06","Prokom Trefl Sopot","Anwil Włocławek","4–1","Energa Czarni Słupsk"
"2006–07","Prokom Trefl Sopot","BOT Turów Zgorzelec","4–1","ASCO Śląsk Wrocław"
"2007–08","Prokom Trefl Sopot","PGE Turów Zgorzelec","4–3","ASCO Śląsk Wrocław"
"2008–09","Asseco Prokom Sopot","PGE Turów Zgorzelec","4–1","Anwil Włocławek"
"2009–10","Asseco Prokom Gdynia","Anwil Włocławek","4–0","Polpharma Starogard Gdański"
"2010–11","Asseco Prokom Gdynia","PGE Turów Zgorzelec","4–3","Energa Czarni Słupsk"
"2011–12","Asseco Prokom Gdynia","Trefl Sopot","4–3","Zastal Zielona Góra"
"2012–13","Stelmet Zielona Góra","PGE Turów Zgorzelec","4–0","AZS Koszalin"
"2013–14","","","",""
