"Name","Service","Rank","Role and unit","Date of award","Notes","Image"
"Eccard Freiherr von Gablenz","Heer","Generalleutnant","Commander of the 7. Infanterie-Division","15 August 1940","—","—"
"Erdmann Gabriel","Heer","Oberfeldwebel","Platoon leader in the II./Panzer-Regiment 35","30 August 1941","—","—"
"Dr.-med. Ernst Gadermann","Luftwaffe","Stabsarzt (rank equivalent to Hauptmann)","Group doctor of the III./Sturzkampfgeschwader 2 \"Immelmann\"","19 August 1944","—","—"
"Friedrich Gaeb","Heer","Unteroffizier","Platoon leader in the 1.(reit)/Divisions-Aufklärungs-Abteilung 97","19 December 1943","—","—"
"Heinrich Gaedcke","Heer","Oberst im Generalstab (in the General Staff)","Chief of the Generalstab of XI. Armeekorps","7 April 1944","—","—"
"Ernst Gaedckens","Heer","Oberfeldwebel","Platoon leader and shock troops leader in the 2./Grenadier-Regiment 46","2 April 1943","—","—"
"Wilhelm Gänsler","Luftwaffe","Oberfeldwebel","Air gunner in the Stabsstaffel IV./Nachtjagdgeschwader 1","27 July 1944","—","—"
"Georg Gärtner","Heer","Hauptmann","Commander of the I./Sturm-Regiment 195","21 September 1944","—","—"
"Robert Gaigals?","Waffen-SS","Waffen-Obersturmführer","Leader of the 6./Waffen-Grenadier-Regiment 42 of the SS \"Voldemars Veiss\"","5 May 1945","—","—"
"Otto Gaillinger","Heer","Oberleutnant","Leader of the 1./Infanterie-Bataillon z.b.V. 500","8 October 1943*","Killed in action 29 September 1943","—"
"Otto Gaiser","Luftwaffe","Oberfeldwebel","Pilot in the 10./Jagdgeschwader 51 \"Mölders\"","9 June 1944*","Missing in action assumed killed in action 22 January 1944","—"
"Wilhelm Gaißer","Heer","Leutnant of the Reserves","Leader of the 1./Grenadier-Regiment 3","17 March 1945","—","—"
"Nikolajs Galdiņš","Waffen-SS","Waffen-Obersturmbannführer","Commander of Waffen-Grenadier-Regiment der SS Nr. 42 \"Voldemars Veiss\"","25 January 1945","—","—"
"Eugen Gall","Heer","Leutnant","Leader of the 6./Grenadier-Regiment 335","17 March 1945","—","—"
"Franz Gall","Heer","Generalleutnant","Defender of the island fortress Elba","19 June 1944","—","—"
"Adolf Galland+","Luftwaffe","Major","Gruppenkommandeur of the III./Jagdgeschwader 26 \"Schlageter\"","29 July 1940","Awarded 3rd Oak Leaves 24 September 1940
1st Swords 21 June 1941
2nd Diamonds 28 January 1942",""
"Wilhelm-Ferdinand Galland","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Jagdgeschwader 26 \"Schlageter\"","18 May 1943","—","—"
"Josef Galle","Heer","Wachtmeister","Platoon leader of the 3./Sturmgeschütz-Abteilung 244","25 January 1943","—","—"
"Curt Gallenkamp","Heer","Generalleutnant","Commander of the 78. Infanterie-Division","19 November 1941","—","—"
"Bernd Gallowitsch","Luftwaffe","Leutnant","Pilot in the 12./Jagdgeschwader 51 \"Mölders\"","24 January 1942","—","—"
"Friedrich Galow","Heer","Wachtmeister","Vorgeschobener Beobachter (forward observer) in the 8./Artillerie-Regiment 389","10 September 1944*","Killed in action 21 July 1944","—"
"Richard Gambietz","Heer","Obergefreiter","In the Stabskompanie/Schützen-Regiment 93","27 May 1942","—","—"
"Berthold Gamer","Heer","Hauptmann","Commander of the II./Artillerie-Regiment 178 (motorized)","25 January 1943","—","—"
"Jakob Gansmeier+","Heer","Hauptmann of the Reserves","Commander of Divisions-Füsilier-Bataillon (A.A.) 212","29 February 1944","Awarded 568th Oak Leaves 2 September 1944","—"
"Franz-Josef Ganssen","Heer","Unteroffizier","Company troop leader in the 9./Grenadier-Regiment 159","29 February 1944","—","—"
"Franz Gapp","Luftwaffe","Oberfeldwebel","Pilot in the 8./Kampfgeschwader 6","18 September 1943","—","—"
"Heinrich Garbers","Kriegsmarine","Leutnant zur See of the Reserves","Commander of Hilfskriegsschiff \"Passim\" and leader of special assignments","1 November 1944","—","—"
"Martin Gareis","Heer","Generalleutnant","Commander of the 98. Infanterie-Division","29 November 1943","—","—"
"Wilhelm Gareis","Heer","Oberst of the Reserves","Commander of Artillerie-Regiment 3 (L)","5 February 1944*","Killed in action 18 December 1943","—"
"Arnulf von Garn","Heer","Major","Commander of Divisions-Füsilier-Bataillon 252","2 September 1944","—","—"
"Detlev Graf von Garnier-Turawa","Heer","Oberleutnant of the Reserves","Commander of the I./Grenadier-Regiment 439","18 January 1944","—","—"
"Eugen Garski","Heer","Oberstleutnant","Commander of the III./Infanterie-Regiment \"Großdeutschland\" (motorized)","19 July 1940","—","—"
"Karl-Edmund Gartenfeld","Luftwaffe","Hauptmann","Staffelführer in the (F) Aufklärungs-Gruppe der OB der Luftwaffe","3 February 1943","—","—"
