Alumni Chapters and Clubs	Location	Founding Date	Years Active	Province
Zeta Alpha	Detroit, MI	1925		Beta
Zeta Beta *	Columbus, OH	December 14, 1926		Alpha North
Zeta Gamma	Cincinnati, OH	December 14, 1926		Alpha South
Zeta Delta	Milwaukee, WI	February 7, 1927	1927–present	Mu
Zeta Epsilon *	Chicago, IL	May 21, 1928		
Zeta Zeta	Denver, CO	November 23, 1940		Gamma
Zeta Eta	Bloomington-Normal, IL	December 13, 1941		Delta
Zeta Theta *	Los Angeles, CA	1943		
Zeta Iota *	Louisville, KY	1944	?-2013	Alpha South
Zeta Kappa *	Cincinnati, OH	May 16, 1946		
Zeta Lambda *	Baton Rouge, LA	1946		
Zeta Mu *	Lincoln, NE	February 22, 1947		
Zeta Nu *	Ann Arbor, MI	December 1948		
Zeta Xi *	Oakland County, MI	July 7, 1953		
Zeta Omicron	Akron-Kent, OH	May 27, 1956	1956–present	Alpha North
Zeta Pi *	Columbia, SC	December 7, 1958		
Zeta Rho *	Kearney, NE	March 7, 1959		
Zeta Sigma	Cleveland, OH	May 15, 1960		Alpha North
Zeta Tau *	St. Petersburg, FL	December 10, 1960		
Zeta Upsilon *	Washington, D.C.	December 18, 1961		
Zeta Phi *	Beaumont, TX	March 25, 1962		
Zeta Chi	Dayton, OH	February 14, 1967	1967–present	Alpha South
Zeta Psi *	Philadelphia, PA	June 4, 1967		
Zeta Omega *	Spartanburg-Greenville, SC	April 12, 1969		
Eta Alpha *	Pueblo, CO	May 25, 1969		
Eta Beta *	Brownwood, TX	November 14, 1969		
Eta Gamma *	Ft. Collins, Co	March 7, 1970		
Eta Delta *	San Antonio, TX	February 20, 1971		
Eta Epsilon *	Atlanta, GA	February 23, 1971		
Eta Zeta *	Buffalo, NY	May 2, 1971		
Eta Eta *	Jacksonville, AL	May 13, 1972		
Eta Theta *	Dallas, TX	November 9, 1975		
Eta Iota *	Huntsville, AL	September 24, 1978		
Eta Kappa *	Phoenix, AZ	January 26, 1980		
Eta Lambda *	Lithonia, GA	May 18, 2003	2004–2011	Iota
Eta Mu *	Atlanta, GA	July 18, 2004	2004-2011	Iota
Champaign-Urbana Alumni Club	Chambaign-Urbana, IL			Delta
Lincoln Alumni Club	Lincoln, NE			Theta
Kearney Alumni Club	Kearney, NE			Theta
Georgia Alumni Club *	Decatur, GA		?-2012	Iota
Frostburg Alumni Club	Frostburg, MD			Lambda
Cincinnati Alumni Club *	Cincinnati, OH		?-2010	Eta South
Atlanta Alumni Club *	Atlanta, GA		?-2012	Iota
Middle Tennessee Alumni Club	Murfreesboro, TN	2013	2013-present	Zeta West
