| Common name                                    | Binomial nomenclature                  | Colour                    | Density ¹                   | Location                                                                                                      | Characteristics, Usage and Status                                                                                                                                                                                                                                                                                                                                                 |
| Aini or Aangili                                | Artocarpus hirsutus                    | Yellowish brown           | 595 kg/m³                   | Maharashtra, Andhra Pradesh, Tamil Nadu, Karnataka, Kerala                                                    | Elastic, close-grained, and strong. It takes polish. It can be used underwater. It is used for ordinary building construction, structural work, paving, furniture and so forth.                                                                                                                                                                                                   |
| Arjun                                          | Terminalia arjuna Terminalia elliptica | Dark brown                | 870 kg/m³                   | Central India                                                                                                 | It is heavy and strong. It has such uses as beams, rafters, and posts.                                                                                                                                                                                                                                                                                                            |
| Axlewood                                       | Anogeissus latifolia                   |                           | 930 kg/m³                   | Andhra Pradesh, Tamil Nadu, Maharashtra, Madhya Pradesh, Bihar, Uttar Pradesh                                 | It is very strong, hard and tough. It takes a smooth finish. It is subject to cracking.                                                                                                                                                                                                                                                                                           |
| Babul                                          | Acacia nilotica subsp. indica          | Whitish red               | 835 kg/m³                   | Rajasthan, Andhra Pradesh, Maharashtra, Madhya Pradesh, Tamil Nadu, Karnataka, Bengal, Gujarat, Uttar Pradesh | It is strong, hard and tough and it takes up a good polish. It is used for such products as bodies and wheels of bullock cart, agricultural instruments, tool handles, and well curbs.                                                                                                                                                                                            |
| Bakul                                          | Mimusops elengi Mimusops parvifolia    | Reddish brown             | 880 kg/m³                   | Some parts of North India                                                                                     | It is close-grained and tough. It is used for making cabinets.                                                                                                                                                                                                                                                                                                                    |
| Bamboo                                         | Family Poaceae, tribe Bambuseae        |                           |                             | Throughout India, especially Assam and Bengal                                                                 | Not actually a tree, but a woody grass, it is flexible, very strong and durable. It is used for scaffoldings, thatched roofs, rafters, temporary bridges, and so forth.                                                                                                                                                                                                           |
| Banyan                                         | Ficus benghalensis                     | Brown                     | 580 kg/m³                   | Throughout India                                                                                              | It is strong and durable only under water. The aerial roots are utilized for such items as tent poles and well curbs.                                                                                                                                                                                                                                                             |
| Benteak                                        | Lagerstoemia parviflora                |                           | 675 kg/m³                   | Kerala, Madras, Maharashtra, Karnataka                                                                        | It is strong and takes up a smooth surface. It may be used for building constructions, boat building and furniture.                                                                                                                                                                                                                                                               |
| Bijasal                                        | Pterocarpus marsupium                  | Light brown               | 800 kg/m³                   | Karnataka, Andhra Pradesh, Madhya Pradesh, Maharashtra, Kerala, Uttar Pradesh, Tamil Nadu, Orissa             | It is coarse-grained, durable and strong but difficult to work. Termites (also known as white ant) do not easily attack it. It is used for ordinary building construction and for cart wheels. Vulnerable                                                                                                                                                                         |
| Casuarina                                      | Casuarina spp.                         | Reddish brown             | 765 kg/m³                   | Andhra Pradesh, Tamil Nadu                                                                                    | It grows straight. It is strong and fibrous. It is, however, badly twisted. It is often used for scaffolding and posts for temporary structures.                                                                                                                                                                                                                                  |
| Coconut                                        | Cocos nucifera                         | Reddish brown             |                             | Throughout coastal India                                                                                      | Takes polish. Requires preservative treatment. Used as poles, piles, furniture and as formwork in concrete construction.                                                                                                                                                                                                                                                          |
| Deodar                                         | Cedrus deodara                         | Yellowish brown           | 560 kg/m³                   | Himalayas, Punjab, Uttar Pradesh                                                                              | Deodar is the most important timber tree providing soft wood. It can be easily worked and it is moderately strong. It possesses distinct annual rings. It is used for making cheap furniture, railway carriages, railway sleepers, packing boxes, structural work and so forth.                                                                                                   |
| Gambar                                         | Gmelina arborea                        | Pale yellow               | 580 kg/m³                   | Central India, South India                                                                                    | It can be easily worked and is strong and durable especially when used under water. It is used for such products as furniture, carriage, well curbs, yokes, and door panels.                                                                                                                                                                                                      |
