"Rank","Belt Alternate 1","Belt Alternate 2","Belt Alternate 3","Belt Alternate 4"
"10th kyū","White belt","","",""
"9th kyū","Red belt","White belt","White belt","White belt"
"8th kyū","Yellow belt","White belt","Yellow belt","Yellow belt"
"7th kyū","Orange belt","White belt","Orange belt","Orange belt"
"6th kyū","Green belt","Green belt","Blue belt","Green belt"
"5th kyū","Blue belt","Blue belt","Purple belt","Blue belt"
"4th kyū","Purple belt","Purple belt","Green Belt","Blue belt"
"3rd kyū","Brown belt","Brown belt","Brown belt","Brown belt"
"2nd kyū","Brown-White belt","Brown belt","Brown belt","Brown belt"
"1st kyū","Brown-Black belt","Brown belt","Brown belt","Brown belt"
"1st–8th dan","Black belt","Black belt","Black belt","Black belt"
