No.	Date	Home team	Visiting team	Goals	Score	Result	Venue	Competition
1.	16 May 1991	Finland	Malta	87' 2–0	2–0	Win	Helsinki Olympic Stadium	UEFA Euro 1992 qualifying
2.	25 Mar 1992	Scotland	Finland	41' 1–1	1–1	Draw	Hampden Park, Glasgow	Friendly
3.	13 Oct 1993	Sweden	Finland	60' 3–2	3–2	Loss	Råsunda Stadium, Stockholm	1994 FIFA World Cup qualification
4.	16 Nov 1994	Finland	Faroe Islands	53' 2–0\n 72' 3–0	5–0	Win	Helsinki Olympic Stadium	UEFA Euro 1996 qualifying
5.	16 Nov 1994	Finland	Faroe Islands	53' 2–0\n 72' 3–0	5–0	Win	Helsinki Olympic Stadium	UEFA Euro 1996 qualifying
6.	29 Mar 1995	San Marino	Finland	45' 0–1	0–2	Win	Stadio Olimpico, Serravalle	UEFA Euro 1996 qualifying
7.	11 Jun 1995	Finland	Greece	45+1' 1–1 (pen.)	2–1	Win	Helsinki Olympic Stadium	UEFA Euro 1996 qualifying
8.	2 Jun 1996	Finland	Turkey	25' 1–0	1–2	Loss	Helsinki Olympic Stadium	Friendly
9.	2 Feb 1997	Turkey	Finland	17' 0–1	1–1	Draw	Atatürk Stadium, Denizli	Friendly
10.	2 Apr 1997	Azerbaijan	Finland	26 ' 0–1	1–2	Win	Tofik Bakhramov Stadium, Baku	1998 FIFA World Cup qualification
11.	8 Jun 1997	Finland	Azerbaijan	65' 2–0	3–0	Win	Helsinki Olympic Stadium	1998 FIFA World Cup qualification
12.	6 Sep 1997	Switzerland	Finland	16' 0–1	1–2	Win	Stade Olympique de la Pontaise, Lausanne	1998 FIFA World Cup qualification
13.	14 Oct 1998	Turkey	Finland	90+6' 1–3	1–3	Win	Ali Sami Yen Stadium, Istanbul	UEFA Euro 2000 qualifying
14.	29 Mar 2000	Wales	Finland	21' 0–1	1–2	Win	Millennium Stadium, Cardiff	Friendly
15.	16 Aug 2000	Finland	Norway	24' 1–0\n 61' 2–1	3–1	Win	Finnair Stadium, Helsinki	2000–01 Nordic Football Championship
16.	16 Aug 2000	Finland	Norway	24' 1–0\n 61' 2–1	3–1	Win	Finnair Stadium, Helsinki	2000–01 Nordic Football Championship
17.	2 Sep 2000	Finland	Albania	45 ' 1–0	2–1	Win	Finnair Stadium, Helsinki	2002 FIFA World Cup qualification
18.	15 Aug 2001	Finland	Belgium	3–0 (pen.)	4–1	Win	Helsinki Olympic Stadium	Friendly
19.	5 Sep 2001	Finland	Greece	53' 5–1	5–1	Win	Helsinki Olympic Stadium	2002 FIFA World Cup qualification
20.	27 Mar 2002	Portugal	Finland	41' 1–3\n 53' 1–4	1–4	Win	Estádio do Bessa, Porto	Friendly
21.	27 Mar 2002	Portugal	Finland	41' 1–3\n 53' 1–4	1–4	Win	Estádio do Bessa, Porto	Friendly
22.	30 Apr 2003	Finland	Iceland	55' 1–0 (pen.)	3–0	Win	Pohjola Stadion, Myyrmäki, Vantaa	Friendly
23.	31 Apr 2004	Malta	Finland	86' 0–2	1–2	Win	Ta' Qali National Stadium, Valletta	Friendly
24.	28 May 2004	Finland	Sweden	8' 1–0 (pen.)	1–3	Loss	Ratina Stadion, Tampere	Friendly
25.	26 Mar 2005	Czech Republic	Finland	46 ' 2–1	4–3	Loss	Na Stinadlech, Teplice	2006 FIFA World Cup qualification
26.	2 Sep 2006	Poland	Finland	54' 0–1\n 76' 0–2 (pen.)	1–3	Win	Zdzisław Krzyszkowiak, Bydgoszcz	UEFA Euro 2008 qualifying
27.	2 Sep 2006	Poland	Finland	54' 0–1\n 76' 0–2 (pen.)	1–3	Win	Zdzisław Krzyszkowiak, Bydgoszcz	UEFA Euro 2008 qualifying
28.	11 Oct 2006	Kazakhstan	Finland	29' 0–1	0–2	Win	Almaty Central Stadium, Almaty	UEFA Euro 2008 qualifying
29.	6 Feb 2008	Finland	Greece	66' 1–0	1–2	Loss	Neo GSP Stadium, Nicosia	Friendly
30.	26 Mar 2008	Bulgaria	Finland	22' 0–1 (pen.)	2–1	Loss	Vasil Levski National Stadium, Sofia	Friendly
31.	9 Sep 2009	Liechtenstein	Finland	74' 0–1 (pen.)	1–1	Draw	Rheinpark Stadion, Vaduz	2010 FIFA World Cup qualification
32.	17 Nov 2010	Finland	San Marino	71' 6–0 (pen.)	8–0	Win	Helsinki Olympic Stadium	UEFA Euro 2012 qualifying
