#	Title	Producer(s)	Performer(s)	Length
1	"Ova Here"	Da Beatminerz	KRS-One	2:56
2	"Things Is About To Change"	Creative Minds Combined	KRS-One	2:34
3	"Splash"	A-Sharp, Pleasure King	KRS-One	2:24
4	"My People"	Alumni	KRS-One	0:19
5	"Kreditz"	Milann Miles, Rick Long	KRS-One	2:02
6	"I Remember"	J-Roc, Mad Lion	KRS-One	4:03
7	"Down The Charts"	Milann Miles, Rick Long	KRS-One	2:10
8	"You Really Don't Want It"	Jim Bean		3:29
9	"Womanology"	Soul Supreme	KRS-One	3:54
10	"2nd Kreditz"		KRS-One	0:46
11	"Stop It"	KRS-One, Mad Lion		1:38
12	"Problemz"	Vanguard	KRS-One	3:15
13	"Believe It!"	Soul Supreme	KRS-One	3:59
