"Name","Type","Builder","Works number","Date","Notes"
"Driver","0-4-0ST","Manning Wardle","515","1875","To Wantage Tramway 1919 possibly per J.F. Wake, scrapped 1920 owing to defective steampipe"
"Gunner","0-4-0ST","Manning Wardle","581","1876","To J.F. Wake 1919, sold to Castner-Kellner Alkali Co. Ltd., Cheshire, scrapping date unknown"
"Pioneer","0-4-0ST","Manning Wardle","676","1878","To Isherwood & Co. (contractor), Brentford 1920, sold or scrapped shortly after 6/1920"
"Caesar","0-4-0ST","Manning Wardle","953","1886","To Holloway Bros. (contractors) Winchester circa 1919, scrapping date unknown"
"Lord Napier","0-4-0ST","Manning Wardle","961","1886","Arsenal records say scrapped 1/1916 but remains still extant 9/1947 according to Railway Observer magazine (RCTS)"
"Bombard","0-4-0ST","Hawthorn Leslie","2115","1888","To British Mannesmann Tube Co. Landore 1920 per Williams & Co., scrapping date unknown"
"Vulcan","0-4-0ST","Vulcan Foundry","1399","1893","Disposal unknown, probably scrapped during First World War"
"Cyclops","0-4-0ST","Hudswell Clarke","451","1895","To Currie, Rowlands & Co., Birkenhead, 1920 per Williams & Co.. To Cudworth & Johnson Ltd., Wrexham 1947 (loaned to William Lee, Seacombe 1950-64), scrapped 6/1964"
"Lord Kitchener","0-4-0ST","Bagnall","1702","1902","To Walter Scott & Middleton (contractors), White Nile Dam, Sudan by 9/1920. To Pauling & Co. Ltd. (Contractors), Park Royal, London by 1950 and transferred to Crymlyn Burrows Depot. Sold to Benjamin Hughes & Co. Ltd., Loughor, Glamorgan 2/1950 and scrapped 1964"
"The Colonel","0-4-0ST","Bagnall","1703","1902","History up to and including transfer to Paulings Crymlyn Burrows Depot as Bagnall 1702. Returned to Park Royal Depot by 7/1951 and scrapped 6/1954"
"The Master General","0-4-0ST","Andrew Barclay","1188","1910","To Frank Edmunds, dealer,1922, thence to Mersey Docks & Harbour Board, Liverpool"
"George","0-4-0ST","Andrew Barclay","1281","1912","To New Westbury Iron Co. Ltd. after 10/1921. To thurrock Chalk & Whiting Co. Ltd., Essex, 1939 and to T.W. Ward & Co. Ltd., Grays, for scrap 3/1966"
"Mary","0-4-0ST","Andrew Barclay","1282","1912","To Pease & Partners, Stockton, 1921"
"Mercury","0-4-0ST","Andrew Barclay","1317","1914","To Frank Edmunds 1921, thence to Glasgow Iron & Steel Co. Ltd., Wishaw, Lanarks. To Pease & Partners Ltd., Normanby Ironworks, Yorks. 9/1948"
"Mars","0-4-0ST","Andrew Barclay","1360","1913","To Thomas Ward & Co. Ltd., Sheffield, circa 1921, thence to Esholt Sewage Works, Yorks."
"Neptune","0-4-0ST","Andrew Barclay","1361","1913","To New Westbury Iron Co. Ltd. 1920, sold to Finedon Ironestone Pits 1939"
"Jupiter","0-4-0ST","Andrew Barclay","1362","1913","To Thomas Ward & Co. Ltd., Sheffield, circa 1921, thence to Esholt Sewage Works, Yorks."
